Time_s   F0_Hz
0.020062   --undefined--
0.030062   --undefined--
0.040062   --undefined--
0.050062   --undefined--
0.060062   --undefined--
0.070062   --undefined--
0.080062   --undefined--
0.090062   --undefined--
0.100062   --undefined--
0.110062   --undefined--
0.120062   --undefined--
0.130062   --undefined--
0.140062   --undefined--
0.150062   --undefined--
0.160062   --undefined--
0.170062   --undefined--
0.180062   --undefined--
0.190062   --undefined--
0.200062   --undefined--
0.210062   --undefined--
0.220062   --undefined--
0.230062   --undefined--
0.240062   --undefined--
0.250062   --undefined--
0.260062   --undefined--
0.270062   --undefined--
0.280062   --undefined--
0.290063   --undefined--
0.300063   --undefined--
0.310062   --undefined--
0.320062   --undefined--
0.330062   --undefined--
0.340062   --undefined--
0.350062   --undefined--
0.360063   --undefined--
0.370063   --undefined--
0.380062   --undefined--
0.390062   --undefined--
0.400062   --undefined--
0.410062   --undefined--
0.420063   --undefined--
0.430063   --undefined--
0.440062   --undefined--
0.450062   --undefined--
0.460062   --undefined--
0.470062   --undefined--
0.480063   --undefined--
0.490063   --undefined--
0.500062   --undefined--
0.510062   --undefined--
0.520062   --undefined--
0.530062   --undefined--
0.540063   --undefined--
0.550063   --undefined--
0.560063   --undefined--
0.570063   --undefined--
0.580063   --undefined--
0.590063   --undefined--
0.600062   --undefined--
0.610062   --undefined--
0.620062   --undefined--
0.630062   --undefined--
0.640062   --undefined--
0.650062   --undefined--
0.660062   --undefined--
0.670063   --undefined--
0.680063   --undefined--
0.690063   --undefined--
0.700063   --undefined--
0.710063   --undefined--
0.720063   --undefined--
0.730062   --undefined--
0.740062   --undefined--
0.750062   --undefined--
0.760062   --undefined--
0.770062   --undefined--
0.780062   --undefined--
0.790063   --undefined--
0.800063   --undefined--
0.810063   --undefined--
0.820063   --undefined--
0.830063   --undefined--
0.840063   --undefined--
0.850063   --undefined--
0.860062   --undefined--
0.870062   --undefined--
0.880062   --undefined--
0.890062   --undefined--
0.900062   --undefined--
0.910062   --undefined--
0.920063   --undefined--
0.930063   --undefined--
0.940063   --undefined--
0.950063   --undefined--
0.960063   --undefined--
0.970063   --undefined--
0.980062   --undefined--
0.990062   --undefined--
1.000062   --undefined--
1.010062   --undefined--
1.020062   --undefined--
1.030062   --undefined--
1.040062   --undefined--
1.050062   --undefined--
1.060062   142.965478
1.070062   143.405575
1.080062   144.542294
1.090062   151.024072
1.100062   157.618030
1.110062   162.668152
1.120062   165.193705
1.130062   167.095474
1.140062   166.611611
1.150062   158.998132
1.160062   158.978211
1.170063   159.999571
1.180062   157.377422
1.190062   150.695948
1.200062   143.452036
1.210062   142.455549
1.220062   133.408630
1.230062   133.926820
1.240062   133.682415
1.250062   137.822857
1.260062   146.048893
1.270062   150.039384
1.280062   151.734223
1.290062   152.388912
1.300062   150.962112
1.310062   144.984177
1.320062   135.501528
1.330062   130.839830
1.340062   124.433088
1.350062   152.359490
1.360062   150.756576
1.370062   146.549449
1.380062   --undefined--
1.390062   --undefined--
1.400062   --undefined--
1.410062   --undefined--
1.420063   --undefined--
1.430062   --undefined--
1.440062   --undefined--
1.450062   --undefined--
1.460062   --undefined--
1.470062   --undefined--
1.480062   --undefined--
1.490062   163.087302
1.500062   162.187282
1.510062   164.764213
1.520062   172.619460
1.530062   177.828498
1.540062   181.463310
1.550062   182.009027
1.560062   178.744146
1.570062   172.856896
1.580062   163.207007
1.590062   162.023159
1.600062   163.192632
1.610062   --undefined--
1.620062   --undefined--
1.630062   --undefined--
1.640062   --undefined--
1.650062   --undefined--
1.660062   --undefined--
1.670063   --undefined--
1.680063   --undefined--
1.690062   182.486886
1.700062   180.287501
1.710062   169.513897
1.720062   166.526196
1.730062   160.573682
1.740062   156.315138
1.750062   152.178203
1.760062   145.741618
1.770062   141.847823
1.780062   138.968175
1.790062   138.726986
1.800062   135.725132
1.810062   134.472695
1.820062   133.491501
1.830062   130.189642
1.840062   126.879515
1.850062   123.883479
1.860062   123.141589
1.870062   129.009642
1.880062   129.670826
1.890062   130.675257
1.900062   131.482767
1.910062   132.438416
1.920063   134.044235
1.930063   135.268008
1.940062   136.152879
1.950062   136.511762
1.960062   136.944543
1.970062   136.985797
1.980062   136.955820
1.990062   131.734064
2.000062   132.268605
2.010063   131.537956
2.020062   134.874194
2.030063   138.169998
2.040062   140.988761
2.050063   142.215176
2.060062   141.398013
2.070062   139.540157
2.080062   131.082705
2.090062   129.282766
2.100062   128.676790
2.110062   130.606185
2.120062   128.621951
2.130062   113.445302
2.140062   110.250809
2.150062   109.816896
2.160062   118.649173
2.170062   136.834569
2.180063   136.318820
2.190062   135.261195
2.200063   135.387539
2.210062   138.733507
2.220063   144.395973
2.230062   149.219668
2.240063   155.847689
2.250062   159.897177
2.260063   162.724546
2.270062   166.497374
2.280063   172.208998
2.290062   173.619484
2.300063   173.247913
2.310062   171.940423
2.320063   168.669347
2.330062   160.029190
2.340062   --undefined--
2.350062   --undefined--
2.360062   --undefined--
2.370062   --undefined--
2.380062   --undefined--
2.390062   --undefined--
2.400062   --undefined--
2.410062   --undefined--
2.420062   --undefined--
2.430063   90.225728
2.440062   89.919627
2.450063   88.672987
2.460062   90.133427
2.470063   91.434229
2.480062   90.313627
2.490063   86.985767
2.500062   87.097136
2.510063   --undefined--
2.520062   --undefined--
2.530063   --undefined--
2.540062   --undefined--
2.550063   --undefined--
2.560062   --undefined--
2.570063   --undefined--
2.580062   --undefined--
2.590062   --undefined--
2.600062   --undefined--
2.610062   --undefined--
2.620062   --undefined--
2.630062   --undefined--
2.640062   --undefined--
2.650062   --undefined--
2.660062   --undefined--
2.670062   --undefined--
2.680063   --undefined--
2.690062   --undefined--
2.700063   --undefined--
2.710062   --undefined--
2.720063   --undefined--
2.730062   --undefined--
2.740063   --undefined--
2.750062   --undefined--
2.760063   --undefined--
2.770062   --undefined--
2.780063   --undefined--
2.790062   --undefined--
2.800063   --undefined--
2.810062   --undefined--
2.820063   --undefined--
2.830062   --undefined--
2.840062   --undefined--
2.850062   --undefined--
2.860062   --undefined--
