Time_s   F0_Hz
0.023438   --undefined--
0.033438   --undefined--
0.043438   --undefined--
0.053438   --undefined--
0.063438   --undefined--
0.073438   --undefined--
0.083438   --undefined--
0.093438   --undefined--
0.103438   --undefined--
0.113438   --undefined--
0.123438   --undefined--
0.133438   --undefined--
0.143438   --undefined--
0.153438   --undefined--
0.163438   --undefined--
0.173438   --undefined--
0.183438   --undefined--
0.193438   --undefined--
0.203438   --undefined--
0.213438   --undefined--
0.223438   --undefined--
0.233438   --undefined--
0.243438   --undefined--
0.253438   --undefined--
0.263438   --undefined--
0.273438   --undefined--
0.283438   --undefined--
0.293438   --undefined--
0.303438   --undefined--
0.313438   --undefined--
0.323438   --undefined--
0.333438   --undefined--
0.343438   --undefined--
0.353438   --undefined--
0.363438   --undefined--
0.373438   --undefined--
0.383438   --undefined--
0.393438   --undefined--
0.403438   --undefined--
0.413438   --undefined--
0.423438   --undefined--
0.433438   --undefined--
0.443438   --undefined--
0.453438   --undefined--
0.463438   --undefined--
0.473438   --undefined--
0.483438   --undefined--
0.493438   --undefined--
0.503438   --undefined--
0.513438   --undefined--
0.523438   --undefined--
0.533438   --undefined--
0.543438   --undefined--
0.553438   --undefined--
0.563438   --undefined--
0.573438   --undefined--
0.583438   --undefined--
0.593438   --undefined--
0.603438   --undefined--
0.613438   --undefined--
0.623438   --undefined--
0.633438   --undefined--
0.643438   --undefined--
0.653438   --undefined--
0.663438   --undefined--
0.673438   --undefined--
0.683438   --undefined--
0.693438   --undefined--
0.703438   --undefined--
0.713438   --undefined--
0.723438   --undefined--
0.733438   --undefined--
0.743438   --undefined--
0.753438   --undefined--
0.763438   --undefined--
0.773438   --undefined--
0.783438   --undefined--
0.793438   --undefined--
0.803438   --undefined--
0.813438   --undefined--
0.823438   --undefined--
0.833438   --undefined--
0.843438   --undefined--
0.853438   --undefined--
0.863438   --undefined--
0.873438   --undefined--
0.883438   --undefined--
0.893438   --undefined--
0.903438   --undefined--
0.913438   --undefined--
0.923438   --undefined--
0.933438   --undefined--
0.943438   --undefined--
0.953438   --undefined--
0.963438   --undefined--
0.973438   --undefined--
0.983438   --undefined--
0.993438   --undefined--
1.003437   --undefined--
1.013437   --undefined--
1.023438   --undefined--
1.033438   131.212708
1.043438   128.832008
1.053438   131.362525
1.063438   133.631503
1.073438   135.039990
1.083438   137.223189
1.093438   139.689094
1.103438   142.113151
1.113438   143.322628
1.123438   144.088359
1.133438   145.016794
1.143438   146.173659
1.153438   147.617738
1.163438   147.614258
1.173438   146.628106
1.183437   144.719736
1.193437   142.483710
1.203437   140.858520
1.213437   140.572758
1.223437   142.517483
1.233437   144.242417
1.243437   143.487418
1.253437   136.418849
1.263437   133.248410
1.273438   133.918410
1.283438   131.839087
1.293438   129.402573
1.303438   128.410117
1.313438   131.152784
1.323438   130.855631
1.333438   131.501451
1.343438   --undefined--
1.353438   --undefined--
1.363438   --undefined--
1.373438   --undefined--
1.383438   146.973577
1.393438   146.506309
1.403438   139.863841
1.413438   134.401804
1.423438   131.104242
1.433437   127.420689
1.443437   121.323695
1.453437   120.190950
1.463437   115.708596
1.473437   104.788770
1.483437   103.034379
1.493437   --undefined--
1.503437   --undefined--
1.513437   --undefined--
1.523438   --undefined--
1.533438   --undefined--
1.543438   --undefined--
1.553438   --undefined--
1.563438   --undefined--
1.573438   --undefined--
1.583438   --undefined--
1.593438   --undefined--
1.603438   --undefined--
1.613438   --undefined--
1.623438   170.578151
1.633438   168.625860
1.643438   157.235306
1.653438   153.310399
1.663438   147.936666
1.673438   143.177740
1.683438   144.929520
1.693437   151.157017
1.703437   154.253445
1.713437   156.970412
1.723437   158.287926
1.733437   157.974525
1.743437   156.332143
1.753437   152.481131
1.763437   149.383188
1.773438   148.187624
1.783438   144.895900
1.793438   140.633726
1.803438   139.101659
1.813438   133.523916
1.823438   132.620399
1.833438   131.272612
1.843438   123.143836
1.853438   122.579894
1.863438   126.573928
1.873438   126.312829
1.883438   126.162194
1.893438   124.445667
1.903438   122.344387
1.913438   121.060763
1.923438   118.827579
1.933438   116.041124
1.943437   115.423039
1.953437   115.314904
1.963437   115.676401
1.973437   115.589226
1.983437   115.510364
1.993437   114.390904
2.003437   111.915181
2.013438   113.481871
2.023438   114.697689
2.033438   117.225098
2.043438   117.917785
2.053438   117.835270
2.063438   117.475095
2.073437   116.260279
2.083438   113.453429
2.093437   111.694732
2.103438   109.206558
2.113437   108.549828
2.123438   107.610132
2.133437   --undefined--
2.143438   --undefined--
2.153437   --undefined--
2.163438   --undefined--
2.173437   130.312233
2.183438   121.417827
2.193437   123.537150
2.203438   125.934778
2.213437   130.672031
2.223438   133.800838
2.233437   140.337390
2.243438   147.007141
2.253437   149.475957
2.263438   150.756153
2.273438   151.663242
2.283438   152.644618
2.293438   151.382626
2.303438   147.038565
2.313438   137.434207
2.323438   127.088561
2.333438   --undefined--
2.343437   --undefined--
2.353438   97.363794
2.363437   96.662767
2.373438   95.522453
2.383437   95.332925
2.393438   97.214971
2.403437   97.462490
2.413438   98.203164
2.423437   98.612415
2.433438   97.040116
2.443437   96.826801
2.453438   97.162509
2.463437   96.567772
2.473438   --undefined--
2.483437   --undefined--
2.493438   --undefined--
2.503437   --undefined--
2.513438   --undefined--
2.523438   --undefined--
2.533438   --undefined--
2.543438   --undefined--
2.553438   --undefined--
2.563438   --undefined--
2.573438   --undefined--
2.583438   --undefined--
2.593437   --undefined--
2.603438   --undefined--
2.613437   --undefined--
2.623438   --undefined--
2.633437   --undefined--
2.643438   --undefined--
2.653437   --undefined--
2.663438   --undefined--
2.673437   --undefined--
2.683438   --undefined--
2.693437   --undefined--
2.703438   --undefined--
2.713437   --undefined--
2.723438   --undefined--
2.733437   --undefined--
2.743438   --undefined--
2.753437   --undefined--
2.763438   --undefined--
2.773438   --undefined--
2.783438   --undefined--
2.793438   --undefined--
2.803438   --undefined--
2.813438   --undefined--
2.823438   --undefined--
2.833438   --undefined--
2.843437   --undefined--
2.853438   --undefined--
2.863437   --undefined--
2.873438   --undefined--
2.883437   --undefined--
2.893438   --undefined--
2.903437   --undefined--
2.913438   --undefined--
2.923437   --undefined--
2.933438   --undefined--
2.943437   --undefined--
2.953438   --undefined--
2.963437   --undefined--
2.973438   --undefined--
2.983437   --undefined--
2.993438   --undefined--
3.003437   --undefined--
3.013438   --undefined--
3.023438   --undefined--
3.033438   --undefined--
3.043438   --undefined--
3.053438   --undefined--
3.063438   --undefined--
3.073438   --undefined--
3.083438   --undefined--
3.093438   --undefined--
3.103438   --undefined--
3.113437   --undefined--
3.123438   --undefined--
3.133437   --undefined--
3.143438   --undefined--
3.153437   --undefined--
3.163438   --undefined--
3.173437   --undefined--
3.183438   --undefined--
3.193437   --undefined--
3.203438   --undefined--
3.213437   --undefined--
3.223438   --undefined--
3.233437   --undefined--
3.243438   --undefined--
3.253437   --undefined--
3.263438   --undefined--
3.273438   --undefined--
3.283438   --undefined--
3.293438   --undefined--
3.303438   --undefined--
3.313438   --undefined--
3.323438   --undefined--
3.333438   --undefined--
3.343438   --undefined--
3.353438   --undefined--
3.363437   --undefined--
3.373438   --undefined--
3.383437   --undefined--
3.393438   --undefined--
3.403437   --undefined--
3.413438   --undefined--
3.423437   --undefined--
3.433438   --undefined--
3.443437   --undefined--
3.453438   --undefined--
3.463437   --undefined--
3.473438   --undefined--
3.483437   --undefined--
3.493438   --undefined--
3.503437   --undefined--
3.513438   --undefined--
