Time_s   F0_Hz
0.021656   --undefined--
0.031656   --undefined--
0.041656   --undefined--
0.051656   --undefined--
0.061656   --undefined--
0.071656   --undefined--
0.081656   --undefined--
0.091656   --undefined--
0.101656   --undefined--
0.111656   --undefined--
0.121656   --undefined--
0.131656   --undefined--
0.141656   --undefined--
0.151656   --undefined--
0.161656   --undefined--
0.171656   --undefined--
0.181656   --undefined--
0.191656   --undefined--
0.201656   --undefined--
0.211656   --undefined--
0.221656   --undefined--
0.231656   --undefined--
0.241656   --undefined--
0.251656   --undefined--
0.261656   --undefined--
0.271656   --undefined--
0.281656   --undefined--
0.291656   --undefined--
0.301656   --undefined--
0.311656   --undefined--
0.321656   --undefined--
0.331656   --undefined--
0.341656   --undefined--
0.351656   --undefined--
0.361656   --undefined--
0.371656   --undefined--
0.381656   --undefined--
0.391656   --undefined--
0.401656   --undefined--
0.411656   --undefined--
0.421656   --undefined--
0.431656   --undefined--
0.441656   --undefined--
0.451656   155.036063
0.461656   157.650763
0.471656   159.254014
0.481656   163.369440
0.491656   166.482163
0.501656   170.444540
0.511656   184.485834
0.521656   194.846324
0.531656   204.252213
0.541656   210.324915
0.551656   213.985570
0.561656   217.188206
0.571656   218.501045
0.581656   219.592326
0.591656   218.873582
0.601656   216.902851
0.611656   213.403326
0.621656   210.354638
0.631656   207.650626
0.641656   207.713186
0.651656   210.009209
0.661656   211.453671
0.671656   212.653575
0.681656   213.465163
0.691656   212.180532
0.701656   208.650306
0.711656   194.931704
0.721656   189.871911
0.731656   185.743311
0.741656   186.028932
0.751656   175.138108
0.761656   174.030210
0.771656   174.671021
0.781656   173.168154
0.791656   172.014504
0.801656   173.069249
0.811656   166.710192
0.821656   --undefined--
0.831656   --undefined--
0.841656   --undefined--
0.851656   --undefined--
0.861656   --undefined--
0.871656   --undefined--
0.881656   201.810517
0.891656   212.661869
0.901656   215.780330
0.911656   221.350972
0.921656   --undefined--
0.931656   --undefined--
0.941656   --undefined--
0.951656   --undefined--
0.961656   --undefined--
0.971656   --undefined--
0.981656   153.784105
0.991656   152.797335
1.001656   146.565623
1.011656   138.739222
1.021656   138.215072
1.031656   140.372446
1.041656   153.030394
1.051656   158.066068
1.061656   156.640390
1.071656   152.964202
1.081656   139.528039
1.091656   139.829323
1.101656   --undefined--
1.111656   --undefined--
1.121656   --undefined--
1.131656   --undefined--
1.141656   --undefined--
1.151656   --undefined--
1.161656   --undefined--
1.171656   --undefined--
1.181656   --undefined--
1.191656   --undefined--
1.201656   --undefined--
1.211656   --undefined--
1.221656   --undefined--
1.231656   --undefined--
1.241656   --undefined--
1.251656   --undefined--
1.261656   --undefined--
1.271656   --undefined--
1.281656   --undefined--
1.291656   218.373433
1.301656   200.433583
1.311656   197.270653
1.321656   196.280205
1.331656   198.316794
1.341656   200.554465
1.351656   201.196668
1.361656   197.712923
1.371656   193.418076
1.381656   189.064811
1.391656   189.164880
1.401656   194.022277
1.411656   201.597067
1.421656   205.902693
1.431656   208.968929
1.441656   211.249809
1.451656   211.652783
1.461656   211.443933
1.471656   209.630985
1.481656   208.305631
1.491656   206.015005
1.501656   204.905986
1.511656   200.122825
1.521656   198.645738
1.531656   197.163723
1.541656   196.199099
1.551656   192.273307
1.561656   191.223314
1.571656   187.081166
1.581656   177.689731
1.591656   187.261021
1.601656   187.559914
1.611656   186.726471
1.621656   182.641335
1.631656   177.724657
1.641656   175.482524
1.651656   175.755464
1.661656   177.433587
1.671656   178.810679
1.681656   180.909076
1.691656   187.959575
1.701656   190.199173
1.711656   193.159639
1.721656   193.893781
