Time_s   F0_Hz
0.022971   454.545262
0.032971   454.545413
0.042971   454.545386
0.052971   454.545485
0.062971   454.545166
0.072971   454.545537
0.082971   454.545348
0.092971   454.545410
0.102971   454.545314
0.112971   454.545302
0.122971   454.545457
0.132971   454.545384
0.142971   454.545388
0.152971   454.545619
0.162971   454.545209
0.172971   454.545353
0.182971   454.545310
0.192971   454.545480
0.202971   454.545220
0.212971   454.545473
0.222971   454.545488
0.232971   454.545185
0.242971   454.545452
0.252971   454.545469
0.262971   454.545299
0.272971   454.545418
0.282971   454.545359
0.292971   454.545382
0.302971   454.545260
0.312971   454.545423
0.322971   454.545454
0.332971   454.545365
0.342971   454.545389
0.352971   454.545392
0.362971   454.545285
0.372971   454.545386
0.382971   454.545458
0.392971   454.545429
0.402971   454.545378
0.412971   454.545403
0.422971   454.545315
0.432971   454.545423
0.442971   454.545280
0.452971   454.545355
0.462971   454.545369
0.472971   454.545339
0.482971   454.545365
0.492971   454.545412
0.502971   454.545421
0.512971   454.545312
0.522971   454.545367
0.532971   454.545428
0.542971   454.545422
0.552971   454.545291
0.562971   454.545366
0.572971   454.545509
0.582971   454.545375
0.592971   454.545375
0.602971   454.545371
0.612971   454.545368
0.622971   454.545370
0.632971   454.545347
0.642971   454.545386
0.652971   454.545367
0.662971   454.545451
0.672971   454.545351
0.682971   454.545309
0.692971   454.545551
0.702971   454.545293
0.712971   454.545322
0.722971   454.545494
0.732971   454.545335
0.742971   454.545327
0.752971   454.545332
0.762971   454.545324
0.772971   454.545348
0.782971   454.545536
0.792971   454.545340
0.802971   454.545491
0.812971   454.545371
0.822971   454.545316
0.832971   454.545306
0.842971   454.545470
0.852971   454.545543
0.862971   454.545260
0.872971   454.545298
0.882971   454.545352
0.892971   454.545279
0.902971   454.545413
0.912971   454.545384
0.922971   454.545392
0.932971   454.545467
0.942971   454.545348
0.952971   454.545336
0.962971   454.545443
0.972971   454.545321
0.982971   454.545334
0.992971   454.545268
1.002971   454.545396
1.012971   454.545535
1.022971   454.545475
1.032971   454.545336
1.042971   454.545262
1.052971   454.545444
1.062971   454.545392
1.072971   454.545338
1.082971   454.545361
1.092971   454.545384
1.102971   454.545359
1.112971   454.545447
1.122971   454.545428
1.132971   454.545410
1.142971   454.545313
1.152971   454.545311
1.162971   454.545398
1.172971   454.545349
1.182971   454.545446
1.192971   454.545294
1.202971   454.545320
1.212971   454.545616
1.222971   454.545330
1.232971   454.545289
1.242971   454.545314
1.252971   454.545357
1.262971   454.545430
1.272971   454.545513
1.282971   454.545359
1.292971   454.545419
1.302971   454.545396
1.312971   454.545360
1.322971   454.545370
1.332971   454.545370
1.342971   454.545238
1.352971   454.545472
1.362971   454.545384
1.372971   454.545362
1.382971   454.545324
1.392971   454.545427
1.402971   454.545240
1.412971   454.545357
1.422971   454.545583
1.432971   454.545377
1.442971   454.545294
1.452971   454.545343
1.462971   454.545446
1.472971   454.545394
1.482971   454.545393
1.492971   454.545241
1.502971   454.545397
1.512971   454.545354
1.522971   454.545503
1.532971   454.545379
1.542971   454.545342
1.552971   454.545512
1.562971   454.545255
1.572971   454.545252
1.582971   454.545522
1.592971   454.545411
1.602971   454.545346
1.612971   454.545308
1.622971   454.545489
1.632971   454.545258
1.642971   454.545333
1.652971   454.545493
1.662971   454.545497
1.672971   454.545403
1.682971   454.545285
1.692971   454.545368
1.702971   454.545356
1.712971   454.545354
1.722971   454.545231
1.732971   454.545461
1.742971   454.545430
1.752971   454.545445
1.762971   454.545303
1.772971   454.545324
1.782971   454.545359
1.792971   454.545413
1.802971   454.545445
1.812971   454.545391
1.822971   454.545284
1.832971   454.545329
1.842971   454.545454
1.852971   454.545480
1.862971   454.545389
1.872971   454.545283
1.882971   454.545437
1.892971   454.545409
1.902971   454.545358
1.912971   454.545392
1.922971   454.545377
1.932971   454.545391
1.942971   454.545421
1.952971   454.545279
1.962971   454.545354
1.972971   454.545429
1.982971   454.545371
1.992971   454.545321
2.002971   454.545325
2.012971   454.545581
2.022971   454.545376
2.032971   454.545202
2.042971   454.545406
2.052971   454.545440
2.062971   454.545426
2.072971   454.545274
2.082971   454.545379
2.092971   454.545311
2.102971   454.545477
2.112971   454.545386
2.122971   454.545475
2.132971   454.545283
2.142971   454.545302
2.152971   454.545298
2.162971   454.545488
2.172971   454.545439
2.182971   454.545371
2.192971   454.545410
2.202971   454.545460
2.212971   454.545310
2.222971   454.545424
2.232971   454.545342
2.242971   454.545226
2.252971   454.545465
2.262971   454.545364
2.272971   454.545365
2.282971   454.545325
2.292971   454.545472
2.302971   454.545250
2.312971   454.545355
2.322971   454.545416
2.332971   454.545399
2.342971   454.545377
2.352971   454.545537
2.362971   454.545439
2.372971   454.545303
2.382971   454.545276
2.392971   454.545433
2.402971   454.545345
2.412971   454.545364
2.422971   454.545415
2.432971   454.545372
2.442971   454.545422
2.452971   454.545241
2.462971   454.545461
2.472971   454.545298
2.482971   454.545376
2.492971   454.545497
2.502971   454.545233
2.512971   454.545448
2.522971   454.545425
2.532971   454.545344
2.542971   454.545397
2.552971   454.545324
2.562971   454.545382
2.572971   454.545534
2.582971   454.545473
2.592971   454.545314
2.602971   454.545315
2.612971   454.545342
2.622971   454.545427
2.632971   454.545261
2.642971   454.545330
2.652971   454.545452
2.662971   454.545447
2.672971   454.545230
2.682971   454.545524
2.692971   454.545258
2.702971   454.545514
2.712971   454.545406
2.722971   454.545391
2.732971   454.545311
2.742971   454.545268
2.752971   454.545309
2.762971   454.545535
2.772971   454.545261
2.782971   454.545426
2.792971   454.545459
2.802971   454.545357
2.812971   454.545259
2.822971   454.545501
2.832971   454.545436
2.842971   454.545383
2.852971   454.545451
2.862971   454.545259
2.872971   454.545317
2.882971   454.545521
2.892971   454.545269
2.902971   454.545318
2.912971   454.545396
2.922971   454.545467
2.932971   454.545305
2.942971   454.545421
2.952971   454.545344
