Time_s   F0_Hz
0.022971   440.001210
0.032971   440.000378
0.042971   440.001376
0.052971   440.001900
0.062971   440.002413
0.072971   440.001150
0.082971   440.000041
0.092971   440.002289
0.102971   440.001689
0.112971   439.999769
0.122971   440.000413
0.132971   440.000663
0.142971   440.000917
0.152971   440.001581
0.162971   440.000479
0.172971   439.998695
0.182971   440.000661
0.192971   440.002276
0.202971   440.001552
0.212971   439.999749
0.222971   439.999492
0.232971   440.000223
0.242971   439.999759
0.252971   440.000772
0.262971   440.001907
0.272971   440.003348
0.282971   440.001940
0.292971   440.002045
0.302971   440.000660
0.312971   440.000005
0.322971   439.998760
0.332971   439.999110
0.342971   440.000817
0.352971   440.000083
0.362971   439.999553
0.372971   439.999552
0.382971   439.999411
0.392971   440.000511
0.402971   440.001627
0.412971   440.002880
0.422971   440.001450
0.432971   440.001666
0.442971   440.002886
0.452971   440.002083
0.462971   440.001891
0.472971   440.003018
0.482971   440.002927
0.492971   440.001081
0.502971   440.001184
0.512971   440.000601
0.522971   439.999808
0.532971   440.000300
0.542971   440.000156
0.552971   439.999334
0.562971   439.999551
0.572971   440.001159
0.582971   440.001566
0.592971   439.999995
0.602971   439.999390
0.612971   440.000440
0.622971   440.001957
0.632971   440.000644
0.642971   440.001226
0.652971   440.002058
0.662971   440.001523
0.672971   440.001172
0.682971   440.002143
0.692971   440.001749
0.702971   440.001887
0.712971   440.002443
0.722971   440.000428
0.732971   439.999679
0.742971   440.001356
0.752971   440.001824
0.762971   439.999940
0.772971   440.000142
0.782971   440.000226
0.792971   439.999302
0.802971   439.999868
0.812971   440.000476
0.822971   440.002133
0.832971   440.002420
0.842971   440.002610
0.852971   440.003344
0.862971   440.002248
0.872971   440.000875
0.882971   440.001158
0.892971   440.001464
0.902971   440.001873
0.912971   440.002178
0.922971   440.001033
0.932971   440.001095
0.942971   440.002427
0.952971   440.001689
0.962971   440.000706
0.972971   440.000911
0.982971   440.000408
0.992971   440.000870
1.002971   440.000462
1.012971   440.000073
1.022971   440.001141
1.032971   440.001255
1.042971   439.999521
1.052971   440.002018
1.062971   440.000409
1.072971   439.999221
1.082971   440.001277
1.092971   440.001530
1.102971   440.001245
1.112971   440.001247
1.122971   440.001452
1.132971   440.000377
1.142971   439.998612
1.152971   439.999799
1.162971   440.000795
1.172971   440.000245
1.182971   439.999340
1.192971   440.000312
1.202971   440.000072
1.212971   440.000355
1.222971   440.001268
1.232971   440.001002
1.242971   440.002016
1.252971   440.001306
1.262971   440.001331
1.272971   440.000215
1.282971   440.000295
1.292971   440.000650
1.302971   440.001125
1.312971   439.999982
1.322971   440.000428
1.332971   439.999865
1.342971   440.000232
1.352971   440.001555
1.362971   440.002865
1.372971   440.002916
1.382971   440.001054
1.392971   440.001136
1.402971   440.000480
1.412971   440.001540
1.422971   440.002650
1.432971   440.000301
1.442971   439.998896
1.452971   439.999833
1.462971   439.999336
1.472971   440.000730
1.482971   440.000879
1.492971   439.999796
1.502971   440.000984
1.512971   440.000753
1.522971   440.000740
1.532971   440.000599
1.542971   440.001210
1.552971   440.003873
1.562971   440.002545
1.572971   439.999522
1.582971   440.000557
1.592971   440.000628
1.602971   440.000260
1.612971   440.001038
1.622971   440.001521
1.632971   440.001406
1.642971   440.001369
1.652971   440.000376
1.662971   440.000091
1.672971   440.001186
1.682971   440.001180
1.692971   440.000615
1.702971   440.000619
1.712971   440.001449
1.722971   440.000551
1.732971   439.999897
1.742971   440.000501
1.752971   440.000832
1.762971   440.000299
1.772971   440.001569
1.782971   440.002194
1.792971   440.000615
1.802971   440.001379
1.812971   440.000906
1.822971   440.000321
1.832971   439.999728
1.842971   440.001145
1.852971   440.000550
1.862971   440.000414
1.872971   440.000512
1.882971   440.001456
1.892971   440.001848
1.902971   440.001913
1.912971   440.001721
1.922971   440.001580
1.932971   440.001201
1.942971   440.001383
1.952971   440.001523
1.962971   440.000469
1.972971   440.000925
1.982971   440.001873
1.992971   439.999916
2.002971   440.000005
2.012971   440.001855
2.022971   440.000742
2.032971   440.000559
2.042971   440.002030
2.052971   440.001852
2.062971   439.999833
2.072971   439.999651
2.082971   439.999706
2.092971   440.001550
