Time_s   F0_Hz
0.022336   --undefined--
0.032336   --undefined--
0.042336   --undefined--
0.052336   --undefined--
0.062336   --undefined--
0.072336   --undefined--
0.082336   --undefined--
0.092336   --undefined--
0.102336   199.515853
0.112336   178.716454
0.122336   153.032302
0.132336   150.405659
0.142336   147.509930
0.152336   145.500819
0.162336   153.997720
0.172336   152.152465
0.182336   150.219109
0.192336   148.471443
0.202336   146.281470
0.212336   142.984337
0.222336   139.625072
0.232336   137.232485
0.242336   135.928211
0.252336   133.456888
0.262336   134.223683
0.272336   134.338476
0.282336   134.935407
0.292336   146.348789
0.302336   146.204099
0.312336   145.687828
0.322336   148.373309
0.332336   --undefined--
0.342336   --undefined--
0.352336   --undefined--
0.362336   --undefined--
0.372336   167.038128
0.382336   158.402024
0.392336   155.632038
0.402336   148.747570
0.412336   150.866213
0.422336   159.368957
0.432336   149.509228
0.442336   141.743244
0.452336   --undefined--
0.462336   --undefined--
0.472336   --undefined--
0.482336   165.273127
0.492336   160.286507
0.502336   145.438806
0.512336   145.709020
0.522336   159.616124
0.532336   159.458696
0.542336   150.071583
0.552336   --undefined--
0.562336   --undefined--
0.572336   --undefined--
0.582336   --undefined--
0.592336   194.452972
0.602336   191.320824
0.612336   188.400917
0.622336   185.139514
0.632336   182.402118
0.642336   173.642311
0.652336   161.646873
0.662336   --undefined--
0.672336   --undefined--
0.682336   --undefined--
0.692336   --undefined--
0.702336   --undefined--
0.712336   --undefined--
0.722336   --undefined--
0.732336   166.373962
0.742336   165.293823
0.752336   159.691357
0.762336   164.518219
0.772336   144.149377
0.782336   145.898806
0.792336   --undefined--
0.802336   --undefined--
0.812336   --undefined--
0.822336   --undefined--
0.832336   171.007471
0.842336   166.243918
0.852336   162.998051
0.862336   161.222663
0.872336   160.443271
0.882336   160.044371
0.892336   159.168946
0.902336   156.533809
0.912336   153.678708
0.922336   150.072890
0.932336   --undefined--
0.942336   --undefined--
0.952336   --undefined--
0.962336   --undefined--
0.972336   --undefined--
0.982336   --undefined--
0.992336   --undefined--
1.002336   --undefined--
1.012336   161.042257
1.022336   166.254077
1.032336   165.727487
1.042336   163.517298
1.052336   159.572231
1.062336   154.973558
1.072336   150.425817
1.082336   146.335515
1.092336   144.351216
1.102336   149.731708
1.112336   166.445725
1.122336   172.513139
1.132336   172.047999
1.142336   170.381015
1.152336   170.160159
1.162336   173.838010
1.172336   170.481719
1.182336   148.799545
1.192336   157.457883
1.202336   157.168686
1.212336   152.403849
1.222336   154.664106
1.232336   --undefined--
1.242336   --undefined--
1.252336   250.499536
1.262336   248.440332
1.272336   240.607486
1.282336   230.170380
1.292336   220.296817
1.302336   --undefined--
1.312336   --undefined--
1.322336   --undefined--
1.332336   --undefined--
1.342336   --undefined--
1.352336   --undefined--
1.362336   --undefined--
1.372336   223.282345
1.382336   212.495375
1.392336   177.475602
1.402336   168.439169
1.412336   173.025632
1.422336   180.258608
1.432336   180.671666
1.442336   172.077414
1.452336   165.023049
1.462336   160.602159
1.472336   156.350746
1.482336   150.115534
1.492336   158.333926
1.502336   162.935489
1.512336   168.412443
1.522336   180.725457
1.532336   --undefined--
1.542336   --undefined--
1.552336   --undefined--
1.562336   --undefined--
1.572336   165.818022
1.582336   163.253730
1.592336   160.831878
1.602336   157.841274
1.612336   152.967642
1.622336   147.104911
1.632336   145.891501
1.642336   145.575634
1.652336   145.636571
1.662336   146.432068
1.672336   146.200759
1.682336   152.857950
1.692336   161.371323
1.702336   158.385633
1.712336   156.421690
1.722336   155.205970
1.732336   156.388455
1.742336   158.207180
1.752336   165.726191
1.762336   173.066357
1.772336   --undefined--
1.782336   --undefined--
1.792336   --undefined--
