Time_s   F0_Hz
0.020952   --undefined--
0.030952   --undefined--
0.040952   --undefined--
0.050952   --undefined--
0.060952   --undefined--
0.070952   --undefined--
0.080952   --undefined--
0.090952   --undefined--
0.100952   --undefined--
0.110952   --undefined--
0.120952   --undefined--
0.130952   --undefined--
0.140952   --undefined--
0.150952   --undefined--
0.160952   --undefined--
0.170952   --undefined--
0.180952   --undefined--
0.190952   --undefined--
0.200952   --undefined--
0.210952   --undefined--
0.220952   --undefined--
0.230952   --undefined--
0.240952   --undefined--
0.250952   --undefined--
0.260952   --undefined--
0.270952   --undefined--
0.280952   --undefined--
0.290952   --undefined--
0.300952   --undefined--
0.310952   --undefined--
0.320952   --undefined--
0.330952   --undefined--
0.340952   --undefined--
0.350952   --undefined--
0.360952   189.040808
0.370952   184.610873
0.380952   173.562229
0.390952   170.044627
0.400952   160.312967
0.410952   151.944526
0.420952   149.366658
0.430952   143.322172
0.440952   145.725823
0.450952   160.872082
0.460952   148.961606
0.470952   146.298584
0.480952   --undefined--
0.490952   --undefined--
0.500952   --undefined--
0.510952   --undefined--
0.520952   161.550859
0.530952   156.598969
0.540952   152.988918
0.550952   148.238613
0.560952   151.556327
0.570952   152.718895
0.580952   151.876605
0.590952   151.590805
0.600952   150.242393
0.610952   143.904040
0.620952   144.639872
0.630952   160.758103
0.640952   161.374079
0.650952   157.134389
0.660952   152.441584
0.670952   152.188799
0.680952   151.331267
0.690952   151.406760
0.700952   151.437196
0.710952   --undefined--
0.720952   --undefined--
0.730952   151.516555
0.740952   155.899435
0.750952   192.688663
0.760952   164.555610
0.770952   161.900187
0.780952   158.432034
0.790952   156.747302
0.800952   153.485697
0.810952   149.124650
0.820952   147.065539
0.830952   146.548101
0.840952   155.846139
0.850952   157.517200
0.860952   160.264162
0.870952   155.948458
0.880952   151.858057
0.890952   151.585392
0.900952   151.121636
0.910952   151.299157
0.920952   151.761603
0.930952   152.180178
0.940952   160.494396
0.950952   159.156108
0.960952   153.442487
0.970952   147.234530
0.980952   146.283418
0.990952   144.414665
1.000952   142.510672
1.010952   139.003406
1.020952   135.783526
1.030952   136.129231
1.040952   136.643275
1.050952   136.389058
1.060952   135.424266
1.070952   133.974993
1.080952   131.868295
1.090952   132.818413
1.100952   134.446789
1.110952   136.508549
1.120952   135.345730
1.130952   133.948923
1.140952   133.518218
1.150952   133.438677
1.160952   133.283635
1.170952   132.863124
1.180952   133.243755
1.190952   131.817352
1.200952   129.227961
1.210952   127.683023
1.220952   123.488124
1.230952   118.078396
1.240952   128.074304
1.250952   134.027148
1.260952   135.165545
1.270952   133.288344
1.280952   133.359637
1.290952   133.480182
1.300952   133.318799
1.310952   132.313786
1.320952   131.426798
1.330952   131.263478
1.340952   133.452481
1.350952   129.160946
1.360952   129.082647
1.370952   136.605954
1.380952   136.312810
1.390952   158.450574
1.400952   158.238768
1.410952   149.328055
1.420952   146.262946
1.430952   143.977216
1.440952   142.078143
1.450952   139.616948
1.460952   134.856639
1.470952   130.772476
1.480952   129.716525
1.490952   128.849033
1.500952   127.909562
1.510952   124.466348
1.520952   122.881761
1.530952   123.979122
1.540952   122.860611
1.550952   119.967940
1.560952   123.955213
1.570952   120.675393
1.580952   115.341162
1.590952   115.980198
1.600952   123.099716
1.610952   133.252923
1.620952   137.142455
1.630952   128.347955
1.640952   123.343516
1.650952   119.496211
1.660952   126.873134
1.670952   131.532423
1.680952   134.730400
1.690952   120.892320
1.700952   117.688462
1.710952   132.981581
1.720952   130.027799
1.730952   146.139399
1.740952   145.765370
1.750952   139.360690
1.760952   157.375498
1.770952   156.818262
1.780952   155.850550
1.790952   144.299855
1.800952   138.800874
1.810952   134.189915
1.820952   130.367233
1.830952   129.034195
1.840952   127.010906
1.850952   122.515415
1.860952   118.044677
1.870952   118.132058
1.880952   131.932737
1.890952   140.832208
1.900952   137.141699
1.910952   124.096856
1.920952   128.557763
1.930952   140.368814
1.940952   135.522017
1.950952   136.319494
1.960952   136.584937
1.970952   153.209951
1.980952   173.949191
1.990952   150.308459
2.000952   146.284820
2.010952   144.348561
2.020952   143.229994
2.030952   141.267201
2.040952   138.963221
2.050952   137.169844
2.060952   135.007474
2.070952   131.132623
2.080952   127.292248
2.090952   125.025305
2.100952   120.220818
2.110952   122.585359
2.120952   126.318999
2.130952   127.052856
2.140952   133.962971
2.150952   142.205798
2.160952   137.438381
2.170952   133.447433
2.180952   130.830784
2.190952   129.627187
2.200952   130.666470
2.210952   128.894890
2.220952   128.161921
2.230952   127.720998
2.240952   127.016058
2.250952   126.441756
2.260952   126.773896
2.270952   127.102385
2.280952   127.671590
2.290952   127.858792
2.300952   127.133056
2.310952   126.443207
2.320952   125.500216
2.330952   122.742165
2.340952   119.213972
2.350952   116.912241
2.360952   118.326761
2.370952   120.587909
2.380952   120.521462
2.390952   118.717888
2.400952   122.620616
2.410952   140.976570
2.420952   151.502475
2.430952   155.039347
2.440952   149.908450
2.450952   147.293690
2.460952   146.322205
2.470952   133.979177
2.480952   132.737828
2.490952   135.418046
2.500952   138.309321
2.510952   145.046691
2.520952   150.161391
2.530952   155.003929
2.540952   160.580201
2.550952   166.310136
2.560952   170.611737
2.570952   174.062971
2.580952   178.145609
2.590952   182.106521
2.600952   185.922834
2.610952   190.188779
2.620952   192.772990
2.630952   192.538888
2.640952   189.548246
2.650952   195.239625
2.660952   198.089914
2.670952   195.820588
2.680952   194.734942
2.690952   189.414888
2.700952   189.234265
2.710952   184.147525
2.720952   185.737790
2.730952   186.663445
2.740952   179.714976
2.750952   173.248412
2.760952   172.973365
2.770952   173.840100
2.780952   173.683786
2.790952   178.237611
2.800952   177.809592
2.810952   181.459171
2.820952   170.373095
2.830952   168.496065
2.840952   177.051806
2.850952   181.785288
2.860952   182.763724
2.870952   164.769263
2.880952   157.344969
2.890952   153.660840
2.900952   148.803591
2.910952   144.841916
2.920952   142.828294
2.930952   136.285918
2.940952   132.163684
2.950952   131.704354
2.960952   133.049670
2.970952   131.046874
2.980952   131.645288
2.990952   130.316598
3.000952   129.061351
3.010952   128.280605
3.020952   127.479459
3.030952   125.880914
3.040952   127.312091
3.050952   124.976141
3.060952   123.863304
3.070952   121.873714
3.080952   124.495682
3.090952   120.864634
3.100952   120.338349
3.110952   120.671610
3.120952   119.470655
3.130952   118.621803
3.140952   119.455679
3.150952   120.096763
3.160952   124.158679
3.170952   132.055358
3.180952   130.978299
3.190952   --undefined--
3.200952   --undefined--
3.210952   --undefined--
3.220952   --undefined--
3.230952   --undefined--
3.240952   --undefined--
3.250952   --undefined--
3.260952   --undefined--
3.270952   --undefined--
3.280952   --undefined--
3.290952   169.900433
3.300952   150.246240
3.310952   136.870485
3.320952   133.799556
3.330952   131.314915
3.340952   131.117080
3.350952   132.436967
3.360952   132.314801
3.370952   134.248375
3.380952   140.221450
3.390952   145.916974
3.400952   143.223805
3.410952   139.172684
3.420952   144.097228
3.430952   144.749655
3.440952   137.877544
3.450952   134.433426
3.460952   134.771747
3.470952   137.217288
3.480952   151.590702
3.490952   164.379956
3.500952   --undefined--
3.510952   --undefined--
3.520952   --undefined--
3.530952   --undefined--
3.540952   --undefined--
3.550952   --undefined--
3.560952   --undefined--
3.570952   --undefined--
3.580952   133.347067
3.590952   128.723429
3.600952   129.335211
3.610952   129.026213
3.620952   137.843375
3.630952   138.217570
3.640952   126.886908
3.650952   121.473105
3.660952   134.016666
3.670952   155.107689
3.680952   --undefined--
3.690952   --undefined--
3.700952   --undefined--
3.710952   --undefined--
3.720952   --undefined--
3.730952   --undefined--
3.740952   --undefined--
3.750952   --undefined--
3.760952   --undefined--
3.770952   --undefined--
3.780952   --undefined--
3.790952   --undefined--
3.800952   --undefined--
3.810952   --undefined--
