Time_s   F0_Hz
0.024887   --undefined--
0.034887   --undefined--
0.044887   --undefined--
0.054887   --undefined--
0.064887   --undefined--
0.074887   --undefined--
0.084887   --undefined--
0.094887   --undefined--
0.104887   --undefined--
0.114887   --undefined--
0.124887   --undefined--
0.134887   --undefined--
0.144887   --undefined--
0.154887   --undefined--
0.164887   --undefined--
0.174887   --undefined--
0.184887   --undefined--
0.194887   171.169603
0.204887   154.560868
0.214887   152.626597
0.224887   138.354316
0.234887   135.284082
0.244887   133.407745
0.254887   111.632612
0.264887   117.480758
0.274887   107.376970
0.284887   --undefined--
0.294887   --undefined--
0.304887   --undefined--
0.314887   --undefined--
0.324887   --undefined--
0.334887   --undefined--
0.344887   --undefined--
0.354887   159.025425
0.364887   145.378749
0.374887   143.241026
0.384887   141.105505
0.394887   140.383706
0.404887   139.747658
0.414887   131.252154
0.424887   127.020624
0.434887   140.232393
0.444887   136.043884
0.454887   140.563511
0.464887   141.289867
0.474887   141.014159
0.484887   140.658652
0.494887   139.530303
0.504887   139.825183
0.514887   139.794001
0.524887   140.232059
0.534887   145.208812
0.544887   162.567520
0.554887   175.824935
0.564887   147.950960
0.574887   136.224272
0.584887   131.393882
0.594887   128.285363
0.604887   124.000457
0.614887   123.458495
0.624887   120.823991
0.634887   116.010471
0.644887   116.671028
0.654887   160.192450
0.664887   135.993343
0.674887   136.379856
0.684887   143.103857
0.694887   --undefined--
0.704887   --undefined--
0.714887   --undefined--
0.724887   --undefined--
0.734887   161.161824
0.744887   153.097591
0.754887   144.526024
0.764887   143.089189
0.774887   143.384561
0.784887   144.796751
0.794887   144.239800
0.804887   143.572997
0.814887   143.714574
0.824887   143.307324
0.834887   143.826637
0.844887   144.992958
0.854887   145.762661
0.864887   147.513380
0.874887   151.319628
0.884887   152.147974
0.894887   153.321741
0.904887   155.038765
0.914887   155.705630
0.924887   155.911222
0.934887   156.425104
0.944887   157.627955
0.954887   158.698626
0.964887   160.002644
0.974887   161.475789
0.984887   163.177928
0.994887   166.067175
1.004887   165.612307
1.014887   167.200437
1.024887   168.284642
1.034887   169.994336
1.044887   172.282597
1.054887   168.477530
1.064887   167.980085
1.074887   166.142308
1.084887   161.129999
1.094887   157.626989
