Time_s   F0_Hz
0.022245   --undefined--
0.032245   --undefined--
0.042245   --undefined--
0.052245   --undefined--
0.062245   --undefined--
0.072245   --undefined--
0.082245   --undefined--
0.092245   --undefined--
0.102245   --undefined--
0.112245   --undefined--
0.122245   --undefined--
0.132245   --undefined--
0.142245   --undefined--
0.152245   --undefined--
0.162245   --undefined--
0.172245   --undefined--
0.182245   --undefined--
0.192245   --undefined--
0.202245   --undefined--
0.212245   --undefined--
0.222245   --undefined--
0.232245   --undefined--
0.242245   --undefined--
0.252245   --undefined--
0.262245   174.059097
0.272245   174.370397
0.282245   169.248330
0.292245   159.832872
0.302245   151.623168
0.312245   148.394917
0.322245   147.134575
0.332245   145.294387
0.342245   143.285810
0.352245   132.042319
0.362245   124.625771
0.372245   122.784462
0.382245   160.079311
0.392245   162.701437
0.402245   148.687242
0.412245   145.125504
0.422245   146.484401
0.432245   144.560391
0.442245   141.774763
0.452245   173.232501
0.462245   154.554688
0.472245   147.767451
0.482245   144.826359
0.492245   --undefined--
0.502245   --undefined--
0.512245   156.069380
0.522245   154.004211
0.532245   148.931289
0.542245   146.794980
0.552245   145.937377
0.562245   144.854313
0.572245   141.121726
0.582245   131.239746
0.592245   136.677935
0.602245   139.296750
0.612245   163.255565
0.622245   153.758712
0.632245   150.711675
0.642245   142.435608
0.652245   144.395890
0.662245   144.923125
0.672245   --undefined--
0.682245   --undefined--
0.692245   --undefined--
0.702245   --undefined--
0.712245   --undefined--
0.722245   --undefined--
0.732245   --undefined--
0.742245   --undefined--
0.752245   --undefined--
0.762245   --undefined--
0.772245   175.003096
0.782245   165.402908
0.792245   159.073887
0.802245   152.932445
0.812245   148.233672
0.822245   144.484187
0.832245   140.144122
0.842245   137.203564
0.852245   135.269596
0.862245   133.488833
0.872245   130.885897
0.882245   128.816941
0.892245   125.931449
0.902245   110.725551
0.912245   132.640723
0.922245   146.725467
0.932245   145.442092
0.942245   128.145833
0.952245   --undefined--
0.962245   --undefined--
0.972245   --undefined--
