Time_s   F0_Hz
0.022755   104.781570
0.032755   102.509541
0.042755   106.505798
0.052755   106.089239
0.062755   104.060858
0.072755   101.165320
0.082755   97.959012
0.092755   98.291848
0.102755   --undefined--
0.112755   --undefined--
0.122755   --undefined--
0.132755   --undefined--
0.142755   --undefined--
0.152755   112.984603
0.162755   110.909467
0.172755   --undefined--
0.182755   --undefined--
0.192755   --undefined--
0.202755   130.009642
0.212755   133.974591
0.222755   139.854178
0.232755   144.762125
0.242755   147.533348
0.252755   148.931425
0.262755   148.937265
0.272755   147.108608
0.282755   146.010391
0.292755   --undefined--
0.302755   --undefined--
0.312755   --undefined--
0.322755   --undefined--
0.332755   --undefined--
0.342755   --undefined--
0.352755   --undefined--
0.362755   --undefined--
0.372755   --undefined--
0.382755   --undefined--
0.392755   --undefined--
0.402755   --undefined--
0.412755   --undefined--
0.422755   --undefined--
0.432755   --undefined--
0.442755   406.380854
0.452755   402.623402
0.462755   402.570179
0.472755   408.838387
0.482755   390.181487
0.492755   --undefined--
0.502755   --undefined--
0.512755   --undefined--
0.522755   --undefined--
0.532755   --undefined--
0.542755   --undefined--
0.552755   --undefined--
0.562755   --undefined--
0.572755   --undefined--
0.582755   --undefined--
0.592755   --undefined--
0.602755   --undefined--
0.612755   --undefined--
0.622755   --undefined--
0.632755   --undefined--
0.642755   --undefined--
0.652755   --undefined--
0.662755   --undefined--
0.672755   --undefined--
0.682755   --undefined--
0.692755   --undefined--
0.702755   --undefined--
0.712755   --undefined--
0.722755   --undefined--
0.732755   --undefined--
0.742755   --undefined--
0.752755   --undefined--
0.762755   --undefined--
0.772755   --undefined--
0.782755   --undefined--
0.792755   --undefined--
0.802755   --undefined--
0.812755   --undefined--
0.822755   --undefined--
0.832755   --undefined--
0.842755   --undefined--
0.852755   --undefined--
0.862755   --undefined--
0.872755   --undefined--
0.882755   --undefined--
0.892755   --undefined--
0.902755   --undefined--
0.912755   --undefined--
0.922755   --undefined--
0.932755   --undefined--
0.942755   --undefined--
0.952755   --undefined--
0.962755   --undefined--
0.972755   --undefined--
0.982755   --undefined--
0.992755   --undefined--
1.002755   --undefined--
1.012755   --undefined--
1.022755   --undefined--
1.032755   --undefined--
1.042755   --undefined--
1.052755   --undefined--
1.062755   --undefined--
1.072755   --undefined--
1.082755   --undefined--
1.092755   --undefined--
1.102755   --undefined--
1.112755   --undefined--
1.122755   --undefined--
1.132755   119.409532
1.142755   125.055620
1.152755   133.914023
1.162755   135.301182
1.172755   132.890272
1.182755   129.074836
1.192755   130.791182
1.202755   129.915660
1.212755   128.487969
1.222755   125.830172
1.232755   124.246507
1.242755   123.776279
1.252755   124.286372
1.262755   128.073234
1.272755   131.483118
1.282755   --undefined--
1.292755   --undefined--
1.302755   --undefined--
1.312755   --undefined--
1.322755   125.805531
1.332755   128.423036
1.342755   127.246052
1.352755   126.117111
1.362755   125.079837
1.372755   127.717748
1.382755   135.860442
1.392755   131.186231
1.402755   129.348166
1.412755   127.454011
1.422755   128.777968
1.432755   129.246239
1.442755   129.061918
1.452755   127.490574
1.462755   127.864326
1.472755   127.960419
1.482755   126.802662
1.492755   123.076317
1.502755   122.386812
1.512755   121.830522
1.522755   92.264670
1.532755   121.173606
1.542755   120.969594
1.552755   120.584855
1.562755   120.195502
1.572755   119.825709
1.582755   118.352789
1.592755   --undefined--
1.602755   --undefined--
1.612755   110.420018
1.622755   116.305789
1.632755   --undefined--
1.642755   --undefined--
1.652755   --undefined--
1.662755   --undefined--
1.672755   --undefined--
1.682755   --undefined--
1.692755   --undefined--
1.702755   --undefined--
1.712755   --undefined--
1.722755   138.268698
1.732755   143.728792
1.742755   145.702679
1.752755   147.055505
1.762755   148.398858
1.772755   148.819866
1.782755   149.281033
1.792755   149.151353
1.802755   149.351468
1.812755   --undefined--
1.822755   --undefined--
1.832755   147.618103
1.842755   145.119995
1.852755   143.378443
1.862755   142.457317
1.872755   140.386451
1.882755   137.091073
1.892755   135.186146
1.902755   130.032697
1.912755   126.396753
1.922755   122.857963
1.932755   118.558839
1.942755   116.557662
1.952755   113.749831
1.962755   112.656263
1.972755   113.219450
1.982755   97.575412
1.992755   126.777658
2.002755   --undefined--
2.012755   --undefined--
2.022755   --undefined--
2.032755   --undefined--
2.042755   --undefined--
2.052755   --undefined--
2.062755   129.613078
2.072755   121.729580
2.082755   117.319752
2.092755   117.037418
2.102755   117.756870
2.112755   118.311544
2.122755   119.503766
2.132755   120.237246
2.142755   122.645514
2.152755   121.865371
2.162755   121.834418
2.172755   121.666588
2.182755   118.511123
2.192755   124.063516
2.202755   125.917582
2.212755   125.465037
2.222755   124.140285
2.232755   --undefined--
2.242755   --undefined--
2.252755   --undefined--
2.262755   --undefined--
2.272755   --undefined--
2.282755   --undefined--
2.292755   --undefined--
2.302755   --undefined--
2.312755   --undefined--
2.322755   --undefined--
2.332755   105.098594
2.342755   106.917172
2.352755   106.188901
2.362755   105.984337
2.372755   107.046551
2.382755   106.411783
2.392755   105.178541
2.402755   104.187788
2.412755   102.520822
2.422755   --undefined--
2.432755   --undefined--
2.442755   --undefined--
2.452755   --undefined--
2.462755   --undefined--
2.472755   --undefined--
2.482755   --undefined--
2.492755   107.904434
2.502755   102.432051
2.512755   101.653176
2.522755   --undefined--
2.532755   --undefined--
2.542755   --undefined--
2.552755   --undefined--
2.562755   --undefined--
2.572755   --undefined--
2.582755   --undefined--
2.592755   --undefined--
2.602755   --undefined--
2.612755   --undefined--
2.622755   --undefined--
2.632755   --undefined--
2.642755   --undefined--
2.652755   --undefined--
2.662755   --undefined--
2.672755   --undefined--
2.682755   --undefined--
2.692755   --undefined--
2.702755   96.538529
2.712755   100.593420
2.722755   --undefined--
2.732755   --undefined--
2.742755   --undefined--
2.752755   --undefined--
2.762755   --undefined--
2.772755   136.890127
2.782755   145.730853
2.792755   --undefined--
2.802755   --undefined--
2.812755   --undefined--
2.822755   --undefined--
2.832755   --undefined--
2.842755   --undefined--
2.852755   --undefined--
2.862755   --undefined--
2.872755   --undefined--
2.882755   --undefined--
2.892755   --undefined--
2.902755   --undefined--
2.912755   --undefined--
2.922755   --undefined--
2.932755   --undefined--
2.942755   --undefined--
2.952755   --undefined--
2.962755   --undefined--
2.972755   --undefined--
2.982755   --undefined--
2.992755   --undefined--
3.002755   --undefined--
3.012755   --undefined--
3.022755   --undefined--
3.032755   --undefined--
3.042755   --undefined--
3.052755   --undefined--
3.062755   --undefined--
3.072755   --undefined--
3.082755   --undefined--
3.092755   --undefined--
3.102755   --undefined--
3.112755   --undefined--
3.122755   --undefined--
3.132755   --undefined--
3.142755   --undefined--
3.152755   --undefined--
3.162755   --undefined--
3.172755   --undefined--
3.182755   --undefined--
3.192755   --undefined--
3.202755   --undefined--
3.212755   --undefined--
3.222755   --undefined--
3.232755   --undefined--
3.242755   --undefined--
3.252755   --undefined--
3.262755   --undefined--
3.272755   --undefined--
3.282755   --undefined--
3.292755   --undefined--
3.302755   --undefined--
3.312755   --undefined--
3.322755   --undefined--
3.332755   --undefined--
3.342755   --undefined--
3.352755   --undefined--
3.362755   --undefined--
3.372755   --undefined--
3.382755   --undefined--
3.392755   --undefined--
3.402755   --undefined--
3.412755   --undefined--
3.422755   --undefined--
3.432755   --undefined--
3.442755   --undefined--
3.452755   --undefined--
3.462755   --undefined--
3.472755   --undefined--
3.482755   --undefined--
3.492755   --undefined--
3.502755   --undefined--
3.512755   --undefined--
3.522755   --undefined--
3.532755   --undefined--
