Time_s   F0_Hz
0.024365   81.703467
0.034365   80.985100
0.044365   83.089388
0.054365   82.223097
0.064365   82.054097
0.074365   81.919349
0.084365   81.421859
0.094365   81.894821
0.104365   81.987147
0.114365   81.999061
0.124365   82.083211
0.134365   81.824133
0.144365   81.959613
0.154365   81.657374
0.164365   81.659457
0.174365   81.779288
0.184365   82.385794
0.194365   82.462144
0.204365   --undefined--
0.214365   --undefined--
0.224365   --undefined--
0.234365   104.083004
0.244365   104.175819
0.254365   103.105257
0.264365   103.507542
0.274365   --undefined--
0.284365   --undefined--
0.294365   --undefined--
0.304365   --undefined--
0.314365   --undefined--
0.324365   --undefined--
0.334365   --undefined--
0.344365   --undefined--
0.354365   --undefined--
0.364365   --undefined--
0.374365   --undefined--
0.384365   --undefined--
0.394365   --undefined--
0.404365   --undefined--
0.414365   --undefined--
0.424365   --undefined--
0.434365   --undefined--
0.444365   --undefined--
0.454365   --undefined--
0.464365   --undefined--
0.474365   --undefined--
0.484365   --undefined--
0.494365   --undefined--
0.504365   --undefined--
0.514365   --undefined--
0.524365   --undefined--
0.534365   --undefined--
0.544365   --undefined--
0.554365   --undefined--
0.564365   --undefined--
0.574365   --undefined--
0.584365   --undefined--
0.594365   --undefined--
0.604365   --undefined--
0.614365   --undefined--
0.624365   --undefined--
0.634365   --undefined--
0.644365   --undefined--
0.654365   --undefined--
0.664365   --undefined--
0.674365   --undefined--
0.684365   --undefined--
0.694365   116.355810
0.704365   106.818376
0.714365   101.372422
0.724365   101.461815
0.734365   84.197047
0.744365   --undefined--
0.754365   --undefined--
0.764365   --undefined--
0.774365   --undefined--
0.784365   --undefined--
0.794365   --undefined--
0.804365   --undefined--
0.814365   --undefined--
0.824365   --undefined--
0.834365   --undefined--
0.844365   --undefined--
0.854365   --undefined--
0.864365   --undefined--
0.874365   --undefined--
0.884365   --undefined--
0.894365   --undefined--
0.904365   --undefined--
0.914365   --undefined--
0.924365   --undefined--
0.934365   --undefined--
0.944365   --undefined--
0.954365   --undefined--
0.964365   --undefined--
0.974365   --undefined--
0.984365   --undefined--
0.994365   --undefined--
1.004365   --undefined--
1.014365   --undefined--
1.024365   --undefined--
1.034365   --undefined--
1.044365   --undefined--
1.054365   --undefined--
1.064365   --undefined--
1.074365   --undefined--
1.084365   --undefined--
1.094365   --undefined--
1.104365   --undefined--
1.114365   --undefined--
1.124365   --undefined--
1.134365   103.509679
1.144365   103.520940
1.154365   103.347181
1.164365   103.369825
1.174365   103.324494
1.184365   76.593558
1.194365   --undefined--
1.204365   416.923062
1.214365   415.486061
1.224365   414.690714
1.234365   413.981216
1.244365   413.862340
1.254365   413.675533
1.264365   413.599265
1.274365   413.665598
1.284365   413.715462
1.294365   413.709814
1.304365   413.744203
1.314365   413.760702
1.324365   413.967267
1.334365   --undefined--
1.344365   --undefined--
1.354365   --undefined--
1.364365   --undefined--
1.374365   --undefined--
1.384365   --undefined--
1.394365   --undefined--
1.404365   --undefined--
1.414365   --undefined--
1.424365   --undefined--
1.434365   --undefined--
1.444365   --undefined--
1.454365   --undefined--
1.464365   --undefined--
1.474365   --undefined--
1.484365   --undefined--
1.494365   --undefined--
1.504365   --undefined--
1.514365   --undefined--
1.524365   --undefined--
1.534365   --undefined--
1.544365   --undefined--
1.554365   --undefined--
1.564365   --undefined--
1.574365   --undefined--
1.584365   --undefined--
1.594365   109.470387
1.604365   109.361643
1.614365   109.300837
1.624365   109.434197
1.634365   81.999643
1.644365   81.960194
1.654365   --undefined--
1.664365   328.872074
1.674365   328.618168
1.684365   328.817426
1.694365   328.501707
1.704365   328.421051
1.714365   328.328820
1.724365   328.308680
1.734365   328.288651
1.744365   328.526199
1.754365   328.515206
1.764365   328.476891
1.774365   328.500212
1.784365   --undefined--
1.794365   --undefined--
1.804365   --undefined--
1.814365   --undefined--
1.824365   --undefined--
1.834365   --undefined--
1.844365   --undefined--
1.854365   --undefined--
1.864365   --undefined--
1.874365   --undefined--
1.884365   --undefined--
1.894365   --undefined--
1.904365   --undefined--
1.914365   --undefined--
1.924365   --undefined--
1.934365   --undefined--
1.944365   --undefined--
1.954365   --undefined--
1.964365   --undefined--
1.974365   --undefined--
1.984365   --undefined--
1.994365   --undefined--
2.004365   --undefined--
2.014365   --undefined--
2.024365   --undefined--
2.034365   110.265648
2.044365   110.455788
2.054365   104.227413
2.064365   103.316899
2.074365   92.032135
2.084365   78.090709
2.094365   --undefined--
2.104365   --undefined--
2.114365   403.759768
2.124365   420.451245
2.134365   417.117667
2.144365   276.171002
2.154365   275.979335
2.164365   275.938812
2.174365   275.953264
2.184365   275.909093
2.194365   275.967584
2.204365   276.019406
2.214365   276.048413
2.224365   276.173549
2.234365   --undefined--
2.244365   --undefined--
2.254365   --undefined--
2.264365   --undefined--
2.274365   --undefined--
2.284365   --undefined--
2.294365   --undefined--
2.304365   --undefined--
2.314365   --undefined--
2.324365   --undefined--
2.334365   --undefined--
2.344365   --undefined--
2.354365   --undefined--
2.364365   --undefined--
2.374365   --undefined--
2.384365   --undefined--
2.394365   --undefined--
2.404365   --undefined--
2.414365   --undefined--
2.424365   --undefined--
2.434365   --undefined--
2.444365   --undefined--
2.454365   --undefined--
2.464365   --undefined--
2.474365   --undefined--
2.484365   --undefined--
2.494365   --undefined--
2.504365   110.748922
2.514365   105.374999
2.524365   106.394610
2.534365   --undefined--
2.544365   --undefined--
2.554365   --undefined--
2.564365   --undefined--
2.574365   --undefined--
2.584365   276.036737
2.594365   275.931291
2.604365   275.892716
2.614365   276.050829
2.624365   276.037320
2.634365   275.970333
2.644365   275.981364
2.654365   275.893398
2.664365   275.983614
2.674365   276.435966
2.684365   --undefined--
2.694365   --undefined--
2.704365   --undefined--
2.714365   109.418604
2.724365   109.479220
2.734365   109.504007
2.744365   109.487738
2.754365   109.451070
2.764365   109.405222
2.774365   109.309751
2.784365   109.392324
2.794365   109.468562
2.804365   109.487083
2.814365   109.454070
2.824365   109.508087
2.834365   109.541760
2.844365   109.473796
2.854365   109.416174
2.864365   109.415402
2.874365   109.385042
2.884365   109.420025
2.894365   --undefined--
2.904365   --undefined--
2.914365   --undefined--
2.924365   --undefined--
2.934365   --undefined--
2.944365   109.003212
2.954365   106.760123
2.964365   100.973834
2.974365   100.956957
2.984365   91.946259
2.994365   77.405819
3.004365   --undefined--
3.014365   399.378749
3.024365   379.508883
3.034365   373.571630
3.044365   276.063576
3.054365   275.870597
3.064365   275.915470
3.074365   276.007283
3.084365   275.989915
3.094365   275.940997
3.104365   275.838294
3.114365   275.846355
3.124365   276.176633
3.134365   --undefined--
3.144365   --undefined--
3.154365   --undefined--
3.164365   --undefined--
3.174365   --undefined--
3.184365   --undefined--
3.194365   --undefined--
3.204365   --undefined--
3.214365   --undefined--
3.224365   --undefined--
3.234365   --undefined--
3.244365   --undefined--
3.254365   --undefined--
3.264365   --undefined--
3.274365   --undefined--
3.284365   --undefined--
3.294365   --undefined--
3.304365   --undefined--
3.314365   --undefined--
3.324365   --undefined--
3.334365   --undefined--
3.344365   --undefined--
3.354365   --undefined--
3.364365   --undefined--
3.374365   --undefined--
3.384365   --undefined--
3.394365   109.341789
3.404365   109.516517
3.414365   109.314072
3.424365   109.434188
3.434365   89.855169
3.444365   77.119907
3.454365   --undefined--
3.464365   329.435271
3.474365   328.824452
3.484365   328.788654
3.494365   328.658686
3.504365   328.543483
3.514365   328.371209
3.524365   328.284337
3.534365   328.408623
3.544365   328.407706
3.554365   328.462499
3.564365   328.601087
3.574365   328.461435
3.584365   --undefined--
3.594365   --undefined--
3.604365   --undefined--
3.614365   --undefined--
3.624365   --undefined--
3.634365   --undefined--
3.644365   --undefined--
3.654365   --undefined--
3.664365   --undefined--
3.674365   --undefined--
3.684365   --undefined--
3.694365   --undefined--
3.704365   --undefined--
3.714365   --undefined--
3.724365   --undefined--
3.734365   --undefined--
3.744365   --undefined--
3.754365   --undefined--
3.764365   --undefined--
3.774365   --undefined--
3.784365   --undefined--
3.794365   --undefined--
3.804365   --undefined--
3.814365   --undefined--
3.824365   --undefined--
3.834365   --undefined--
3.844365   109.258170
3.854365   110.337731
3.864365   105.693629
3.874365   102.200085
3.884365   101.316248
3.894365   77.310473
3.904365   --undefined--
3.914365   --undefined--
3.924365   --undefined--
3.934365   --undefined--
3.944365   460.924749
3.954365   451.491333
3.964365   --undefined--
3.974365   --undefined--
3.984365   --undefined--
3.994365   --undefined--
4.004365   --undefined--
4.014365   --undefined--
4.024365   --undefined--
4.034365   --undefined--
4.044365   --undefined--
4.054365   --undefined--
4.064365   --undefined--
4.074365   --undefined--
4.084365   --undefined--
4.094365   --undefined--
4.104365   --undefined--
4.114365   --undefined--
4.124365   --undefined--
4.134365   --undefined--
4.144365   --undefined--
4.154365   --undefined--
4.164365   --undefined--
4.174365   --undefined--
4.184365   --undefined--
4.194365   --undefined--
4.204365   --undefined--
4.214365   --undefined--
4.224365   --undefined--
4.234365   --undefined--
4.244365   --undefined--
4.254365   --undefined--
4.264365   --undefined--
4.274365   --undefined--
4.284365   --undefined--
4.294365   --undefined--
4.304365   115.604863
4.314365   103.549425
4.324365   102.917324
4.334365   95.797292
4.344365   76.030914
4.354365   --undefined--
4.364365   --undefined--
4.374365   --undefined--
4.384365   --undefined--
4.394365   --undefined--
4.404365   --undefined--
4.414365   --undefined--
4.424365   122.795584
4.434365   123.081761
4.444365   122.636935
4.454365   122.910650
4.464365   123.056413
4.474365   122.891002
4.484365   --undefined--
4.494365   --undefined--
4.504365   --undefined--
4.514365   --undefined--
4.524365   --undefined--
4.534365   --undefined--
4.544365   --undefined--
4.554365   --undefined--
4.564365   --undefined--
4.574365   --undefined--
4.584365   --undefined--
4.594365   --undefined--
4.604365   --undefined--
4.614365   --undefined--
4.624365   --undefined--
4.634365   --undefined--
4.644365   --undefined--
4.654365   --undefined--
4.664365   --undefined--
4.674365   --undefined--
4.684365   --undefined--
4.694365   --undefined--
4.704365   --undefined--
4.714365   --undefined--
4.724365   --undefined--
4.734365   --undefined--
4.744365   111.139695
4.754365   109.966052
4.764365   103.205514
4.774365   101.347416
4.784365   98.620466
4.794365   81.821892
4.804365   --undefined--
4.814365   --undefined--
4.824365   --undefined--
4.834365   --undefined--
4.844365   --undefined--
4.854365   122.915925
4.864365   122.901895
4.874365   122.886116
4.884365   122.919558
4.894365   122.888170
4.904365   122.893282
4.914365   122.928114
4.924365   122.897525
4.934365   123.079111
4.944365   --undefined--
4.954365   --undefined--
4.964365   --undefined--
4.974365   --undefined--
4.984365   --undefined--
4.994365   --undefined--
5.004365   --undefined--
5.014365   --undefined--
5.024365   --undefined--
5.034365   --undefined--
5.044365   --undefined--
5.054365   --undefined--
5.064365   --undefined--
5.074365   --undefined--
5.084365   --undefined--
5.094365   --undefined--
5.104365   --undefined--
5.114365   --undefined--
5.124365   --undefined--
5.134365   --undefined--
5.144365   --undefined--
5.154365   --undefined--
5.164365   --undefined--
5.174365   --undefined--
5.184365   --undefined--
5.194365   --undefined--
5.204365   114.814187
5.214365   107.514337
5.224365   100.269089
5.234365   100.107686
5.244365   81.938853
5.254365   --undefined--
5.264365   --undefined--
5.274365   462.712156
5.284365   456.846124
5.294365   442.938773
5.304365   245.931222
5.314365   245.782788
5.324365   245.759156
5.334365   245.855727
5.344365   245.892458
5.354365   245.930389
5.364365   245.940547
5.374365   245.854396
5.384365   245.851873
5.394365   --undefined--
5.404365   --undefined--
5.414365   --undefined--
5.424365   --undefined--
5.434365   --undefined--
5.444365   --undefined--
5.454365   --undefined--
5.464365   --undefined--
5.474365   --undefined--
5.484365   --undefined--
5.494365   --undefined--
5.504365   --undefined--
5.514365   --undefined--
5.524365   --undefined--
5.534365   --undefined--
5.544365   --undefined--
5.554365   --undefined--
5.564365   --undefined--
5.574365   --undefined--
5.584365   --undefined--
5.594365   --undefined--
5.604365   --undefined--
5.614365   --undefined--
5.624365   --undefined--
5.634365   --undefined--
5.644365   110.070756
5.654365   117.412551
5.664365   104.363614
5.674365   102.420407
5.684365   101.881437
5.694365   80.432072
5.704365   --undefined--
5.714365   --undefined--
5.724365   --undefined--
5.734365   276.520835
5.744365   276.275458
5.754365   276.137854
5.764365   276.065360
5.774365   276.050109
5.784365   276.053451
5.794365   276.046782
5.804365   276.025306
5.814365   276.041103
5.824365   276.026156
5.834365   276.254457
5.844365   --undefined--
5.854365   --undefined--
5.864365   --undefined--
5.874365   --undefined--
5.884365   --undefined--
5.894365   --undefined--
5.904365   --undefined--
5.914365   --undefined--
5.924365   --undefined--
5.934365   --undefined--
5.944365   --undefined--
5.954365   --undefined--
5.964365   --undefined--
5.974365   --undefined--
5.984365   --undefined--
5.994365   --undefined--
6.004365   --undefined--
6.014365   --undefined--
6.024365   --undefined--
