Time_s   F0_Hz
0.024365   87.719711
0.034365   87.670265
0.044365   87.641354
0.054365   87.541241
0.064365   87.473337
0.074365   87.448906
0.084365   87.501469
0.094365   87.654802
0.104365   87.704289
0.114365   87.684675
0.124365   87.554046
0.134365   87.614373
0.144365   87.676445
0.154365   87.770313
0.164365   87.633444
0.174365   87.623321
0.184365   87.440676
0.194365   87.282311
0.204365   87.279643
0.214365   87.151754
0.224365   87.716105
0.234365   87.489629
0.244365   87.530131
0.254365   87.454896
0.264365   87.435549
0.274365   87.359315
0.284365   87.325039
0.294365   87.482793
0.304365   --undefined--
0.314365   149.280629
0.324365   147.192679
0.334365   145.204330
0.344365   146.962813
0.354365   146.514225
0.364365   146.139936
0.374365   146.184128
0.384365   145.910621
0.394365   87.473213
0.404365   87.422814
0.414365   87.461235
0.424365   87.495772
0.434365   87.569867
0.444365   87.536555
0.454365   87.597973
0.464365   87.236468
0.474365   87.923171
0.484365   88.112703
0.494365   87.962231
0.504365   --undefined--
0.514365   --undefined--
0.524365   --undefined--
0.534365   --undefined--
0.544365   --undefined--
0.554365   --undefined--
0.564365   --undefined--
0.574365   --undefined--
0.584365   --undefined--
0.594365   --undefined--
0.604365   --undefined--
0.614365   --undefined--
0.624365   --undefined--
0.634365   --undefined--
0.644365   93.239738
0.654365   93.322091
0.664365   93.290406
0.674365   93.191506
0.684365   93.078497
0.694365   93.036386
0.704365   93.046645
0.714365   --undefined--
0.724365   --undefined--
0.734365   --undefined--
0.744365   --undefined--
0.754365   --undefined--
0.764365   --undefined--
0.774365   --undefined--
0.784365   87.136340
0.794365   87.259654
0.804365   87.222767
0.814365   87.190264
0.824365   87.284996
0.834365   87.347776
0.844365   87.132258
0.854365   86.952105
0.864365   86.970420
0.874365   86.977810
0.884365   86.920206
0.894365   87.256603
0.904365   92.750949
0.914365   92.548422
0.924365   92.648996
0.934365   92.858113
0.944365   92.885281
0.954365   --undefined--
0.964365   --undefined--
0.974365   --undefined--
0.984365   --undefined--
0.994365   116.750450
1.004365   116.647502
1.014365   116.561277
1.024365   116.239681
1.034365   116.338877
1.044365   116.376644
1.054365   116.246821
1.064365   116.201510
1.074365   115.953878
1.084365   116.018720
1.094365   116.177364
1.104365   116.376891
1.114365   --undefined--
1.124365   --undefined--
1.134365   --undefined--
1.144365   171.627932
1.154365   154.153536
1.164365   148.069411
1.174365   147.261583
1.184365   147.252037
1.194365   147.332937
1.204365   --undefined--
1.214365   --undefined--
