Time_s   F0_Hz
0.022347   --undefined--
0.032347   --undefined--
0.042347   --undefined--
0.052347   --undefined--
0.062347   --undefined--
0.072347   --undefined--
0.082347   --undefined--
0.092347   --undefined--
0.102347   --undefined--
0.112347   345.893914
0.122347   343.108311
0.132347   353.061754
0.142347   348.497860
0.152347   349.126449
0.162347   347.002955
0.172347   349.140068
0.182347   349.623566
0.192347   354.149629
0.202347   361.357529
0.212347   368.953190
0.222347   369.220024
0.232347   369.656876
0.242347   370.083080
0.252347   --undefined--
0.262347   --undefined--
0.272347   --undefined--
0.282347   --undefined--
0.292347   --undefined--
0.302347   --undefined--
0.312347   --undefined--
0.322347   --undefined--
0.332347   490.588149
0.342347   497.509266
0.352347   --undefined--
0.362347   --undefined--
0.372347   --undefined--
0.382347   --undefined--
0.392347   --undefined--
0.402347   408.469919
0.412347   425.781140
0.422347   --undefined--
0.432347   --undefined--
0.442347   --undefined--
0.452347   --undefined--
0.462347   --undefined--
0.472347   --undefined--
0.482347   385.017083
0.492347   380.439656
0.502347   366.352286
0.512347   366.265875
0.522347   362.655354
0.532347   362.898757
0.542347   --undefined--
0.552347   --undefined--
0.562347   --undefined--
0.572347   --undefined--
0.582347   --undefined--
0.592347   --undefined--
0.602347   --undefined--
0.612347   --undefined--
0.622347   --undefined--
0.632347   --undefined--
0.642347   --undefined--
0.652347   436.230171
0.662347   400.603813
0.672347   407.754242
0.682347   406.408587
0.692347   --undefined--
0.702347   --undefined--
0.712347   --undefined--
0.722347   --undefined--
0.732347   --undefined--
0.742347   --undefined--
0.752347   453.037695
0.762347   443.953499
0.772347   441.144742
0.782347   427.637183
0.792347   420.806186
0.802347   403.415767
0.812347   402.851365
0.822347   --undefined--
0.832347   --undefined--
0.842347   --undefined--
0.852347   --undefined--
0.862347   --undefined--
0.872347   --undefined--
0.882347   --undefined--
0.892347   --undefined--
0.902347   --undefined--
0.912347   --undefined--
0.922347   --undefined--
0.932347   --undefined--
0.942347   465.613023
0.952347   472.721661
0.962347   481.204904
0.972347   489.231701
0.982347   492.386497
0.992347   492.109575
1.002347   493.410154
1.012347   492.987449
1.022347   --undefined--
1.032347   --undefined--
1.042347   --undefined--
1.052347   --undefined--
1.062347   --undefined--
1.072347   --undefined--
1.082347   --undefined--
1.092347   --undefined--
1.102347   --undefined--
1.112347   390.003216
