Time_s   F0_Hz
0.024365   418.427826
0.034365   421.041003
0.044365   --undefined--
0.054365   467.096550
0.064365   468.760035
0.074365   435.522392
0.084365   428.915884
0.094365   435.356116
0.104365   439.529787
0.114365   450.881974
0.124365   469.834040
0.134365   463.638031
0.144365   473.933288
0.154365   481.212051
0.164365   --undefined--
0.174365   --undefined--
0.184365   --undefined--
0.194365   --undefined--
0.204365   --undefined--
0.214365   --undefined--
0.224365   --undefined--
0.234365   --undefined--
0.244365   --undefined--
0.254365   --undefined--
0.264365   --undefined--
0.274365   454.109172
0.284365   442.886038
0.294365   --undefined--
0.304365   --undefined--
0.314365   --undefined--
0.324365   --undefined--
0.334365   --undefined--
0.344365   --undefined--
0.354365   --undefined--
0.364365   --undefined--
0.374365   --undefined--
0.384365   --undefined--
0.394365   --undefined--
0.404365   --undefined--
0.414365   --undefined--
0.424365   --undefined--
0.434365   --undefined--
0.444365   --undefined--
0.454365   --undefined--
0.464365   --undefined--
0.474365   --undefined--
0.484365   --undefined--
0.494365   --undefined--
0.504365   --undefined--
0.514365   --undefined--
0.524365   --undefined--
0.534365   --undefined--
0.544365   --undefined--
0.554365   --undefined--
0.564365   --undefined--
0.574365   --undefined--
0.584365   --undefined--
0.594365   --undefined--
0.604365   --undefined--
0.614365   --undefined--
0.624365   --undefined--
0.634365   --undefined--
0.644365   --undefined--
0.654365   --undefined--
0.664365   --undefined--
0.674365   --undefined--
0.684365   --undefined--
0.694365   --undefined--
0.704365   --undefined--
0.714365   --undefined--
0.724365   --undefined--
0.734365   --undefined--
0.744365   --undefined--
0.754365   --undefined--
0.764365   --undefined--
0.774365   --undefined--
0.784365   --undefined--
0.794365   --undefined--
0.804365   --undefined--
0.814365   --undefined--
0.824365   --undefined--
0.834365   --undefined--
0.844365   --undefined--
0.854365   --undefined--
0.864365   --undefined--
0.874365   --undefined--
0.884365   --undefined--
0.894365   --undefined--
0.904365   --undefined--
0.914365   --undefined--
0.924365   --undefined--
0.934365   --undefined--
0.944365   --undefined--
0.954365   115.367947
0.964365   114.747301
0.974365   114.657128
0.984365   114.615231
0.994365   114.993721
1.004365   113.753533
1.014365   113.698212
1.024365   113.846140
1.034365   112.812651
1.044365   111.333657
1.054365   111.315724
1.064365   --undefined--
1.074365   --undefined--
1.084365   --undefined--
1.094365   --undefined--
1.104365   --undefined--
1.114365   --undefined--
1.124365   --undefined--
1.134365   --undefined--
1.144365   --undefined--
1.154365   --undefined--
1.164365   --undefined--
1.174365   --undefined--
1.184365   --undefined--
1.194365   --undefined--
1.204365   --undefined--
1.214365   --undefined--
1.224365   --undefined--
1.234365   --undefined--
1.244365   --undefined--
1.254365   --undefined--
1.264365   --undefined--
1.274365   --undefined--
1.284365   --undefined--
1.294365   --undefined--
1.304365   --undefined--
1.314365   --undefined--
1.324365   --undefined--
1.334365   --undefined--
1.344365   --undefined--
1.354365   --undefined--
1.364365   116.205822
1.374365   113.543979
1.384365   113.642919
1.394365   113.031422
1.404365   114.007346
1.414365   114.311487
1.424365   113.410205
1.434365   111.983347
1.444365   112.883754
1.454365   113.121721
1.464365   113.510963
1.474365   113.675641
1.484365   113.028429
1.494365   112.945894
1.504365   112.816661
1.514365   109.825130
1.524365   109.877214
1.534365   109.879085
1.544365   109.854324
1.554365   109.801619
1.564365   109.857053
1.574365   109.940300
1.584365   112.861864
1.594365   112.889949
1.604365   111.997159
1.614365   112.584132
1.624365   113.126279
1.634365   114.034860
1.644365   115.144631
1.654365   --undefined--
1.664365   --undefined--
1.674365   --undefined--
1.684365   --undefined--
1.694365   --undefined--
1.704365   --undefined--
1.714365   --undefined--
1.724365   --undefined--
1.734365   --undefined--
1.744365   --undefined--
1.754365   --undefined--
1.764365   --undefined--
1.774365   --undefined--
1.784365   --undefined--
1.794365   112.289815
1.804365   112.109264
1.814365   --undefined--
1.824365   --undefined--
1.834365   --undefined--
1.844365   --undefined--
1.854365   --undefined--
1.864365   --undefined--
1.874365   --undefined--
1.884365   --undefined--
1.894365   --undefined--
1.904365   --undefined--
1.914365   --undefined--
1.924365   --undefined--
1.934365   117.786210
1.944365   117.963650
1.954365   118.865439
1.964365   120.329040
1.974365   120.444030
1.984365   121.486267
1.994365   121.754157
2.004365   121.578063
2.014365   120.995896
2.024365   121.029614
2.034365   120.722245
2.044365   120.506688
2.054365   117.850584
2.064365   115.490071
2.074365   114.866288
2.084365   115.189725
2.094365   119.035967
2.104365   119.644237
2.114365   117.673555
2.124365   110.912804
2.134365   --undefined--
2.144365   --undefined--
2.154365   --undefined--
2.164365   --undefined--
2.174365   --undefined--
2.184365   452.123685
2.194365   442.219723
2.204365   432.751741
2.214365   419.549984
2.224365   412.432669
2.234365   402.667024
2.244365   399.524394
2.254365   --undefined--
2.264365   --undefined--
2.274365   --undefined--
2.284365   114.632600
2.294365   114.204396
2.304365   115.396614
2.314365   115.119917
2.324365   114.496462
2.334365   112.770816
2.344365   113.044349
2.354365   113.325734
2.364365   113.370315
2.374365   112.898545
2.384365   112.595040
2.394365   111.970943
2.404365   111.675278
2.414365   112.038042
2.424365   112.233374
2.434365   114.771732
2.444365   115.405364
2.454365   116.430228
2.464365   115.004810
2.474365   114.598967
2.484365   110.874083
2.494365   115.108516
2.504365   115.516653
2.514365   114.197789
2.524365   112.855043
2.534365   113.021563
2.544365   111.829703
2.554365   112.265034
2.564365   113.131455
2.574365   113.537883
2.584365   113.366009
2.594365   114.490061
2.604365   112.421104
2.614365   111.655835
2.624365   115.061319
2.634365   113.599313
2.644365   110.666300
2.654365   --undefined--
2.664365   --undefined--
2.674365   --undefined--
2.684365   --undefined--
2.694365   115.216907
2.704365   112.691665
2.714365   111.439390
2.724365   116.887230
2.734365   116.763403
2.744365   115.347363
2.754365   112.636083
2.764365   --undefined--
2.774365   --undefined--
2.784365   --undefined--
2.794365   --undefined--
2.804365   --undefined--
2.814365   --undefined--
2.824365   --undefined--
2.834365   --undefined--
2.844365   --undefined--
2.854365   --undefined--
2.864365   --undefined--
2.874365   --undefined--
2.884365   --undefined--
