Time_s   F0_Hz
0.022347   --undefined--
0.032347   --undefined--
0.042347   --undefined--
0.052347   --undefined--
0.062347   --undefined--
0.072347   --undefined--
0.082347   --undefined--
0.092347   --undefined--
0.102347   --undefined--
0.112347   --undefined--
0.122347   --undefined--
0.132347   --undefined--
0.142347   --undefined--
0.152347   --undefined--
0.162347   --undefined--
0.172347   --undefined--
0.182347   --undefined--
0.192347   --undefined--
0.202347   --undefined--
0.212347   --undefined--
0.222347   --undefined--
0.232347   --undefined--
0.242347   --undefined--
0.252347   --undefined--
0.262347   --undefined--
0.272347   --undefined--
0.282347   --undefined--
0.292347   --undefined--
0.302347   --undefined--
0.312347   --undefined--
0.322347   --undefined--
0.332347   --undefined--
0.342347   --undefined--
0.352347   --undefined--
0.362347   --undefined--
0.372347   --undefined--
0.382347   --undefined--
0.392347   --undefined--
0.402347   --undefined--
0.412347   --undefined--
0.422347   --undefined--
0.432347   --undefined--
0.442347   --undefined--
0.452347   --undefined--
0.462347   --undefined--
0.472347   --undefined--
0.482347   --undefined--
0.492347   --undefined--
0.502347   --undefined--
0.512347   --undefined--
0.522347   --undefined--
0.532347   --undefined--
0.542347   --undefined--
0.552347   --undefined--
0.562347   --undefined--
0.572347   --undefined--
0.582347   --undefined--
0.592347   --undefined--
0.602347   --undefined--
0.612347   --undefined--
0.622347   --undefined--
0.632347   --undefined--
0.642347   --undefined--
0.652347   --undefined--
0.662347   --undefined--
0.672347   --undefined--
0.682347   --undefined--
0.692347   --undefined--
0.702347   --undefined--
0.712347   --undefined--
0.722347   --undefined--
0.732347   --undefined--
0.742347   --undefined--
0.752347   --undefined--
0.762347   --undefined--
0.772347   --undefined--
0.782347   --undefined--
0.792347   --undefined--
0.802347   --undefined--
0.812347   --undefined--
0.822347   --undefined--
0.832347   216.092659
0.842347   218.064953
0.852347   219.844685
0.862347   224.906932
0.872347   232.457908
0.882347   232.658465
0.892347   231.203872
0.902347   231.860096
0.912347   229.338911
0.922347   224.197558
0.932347   223.691270
0.942347   221.882212
0.952347   220.368959
0.962347   219.582416
0.972347   218.805002
0.982347   217.487207
0.992347   215.092117
1.002347   215.707210
1.012347   214.843311
1.022347   215.140359
1.032347   212.736663
1.042347   205.771574
1.052347   201.861891
1.062347   202.830258
1.072347   204.152357
1.082347   200.577624
1.092347   199.797030
1.102347   195.799933
