Time_s   F0_Hz
0.023401   --undefined--
0.033401   --undefined--
0.043401   --undefined--
0.053401   --undefined--
0.063401   --undefined--
0.073401   --undefined--
0.083401   --undefined--
0.093401   --undefined--
0.103401   --undefined--
0.113401   --undefined--
0.123401   --undefined--
0.133401   --undefined--
0.143401   --undefined--
0.153401   --undefined--
0.163401   --undefined--
0.173401   --undefined--
0.183401   --undefined--
0.193401   --undefined--
0.203401   --undefined--
0.213401   241.476960
0.223401   230.753230
0.233401   228.825421
0.243401   227.984973
0.253401   229.309691
0.263401   231.177935
0.273401   240.316801
0.283401   240.322511
0.293401   242.693029
0.303401   246.740445
0.313401   251.620174
0.323401   252.555941
0.333401   252.519140
0.343401   252.860774
0.353401   253.089766
0.363401   252.537218
0.373401   252.806452
0.383401   253.449833
0.393401   253.428250
0.403401   251.318955
0.413401   245.980989
0.423401   240.086543
0.433401   235.799943
0.443401   232.673798
0.453401   227.128970
0.463401   --undefined--
0.473401   --undefined--
0.483401   --undefined--
0.493401   --undefined--
0.503401   --undefined--
0.513401   --undefined--
0.523401   --undefined--
0.533401   --undefined--
0.543401   --undefined--
0.553401   --undefined--
0.563401   --undefined--
0.573401   --undefined--
0.583401   --undefined--
0.593401   130.973374
0.603401   130.746995
0.613401   130.133976
0.623401   133.404168
0.633401   132.722490
0.643401   137.655844
0.653401   138.347409
0.663401   138.562900
0.673401   134.718469
0.683401   134.274167
0.693401   135.265016
0.703401   134.807036
0.713401   270.825215
0.723401   267.310345
0.733401   261.390028
0.743401   254.861530
0.753401   248.685395
0.763401   242.801954
0.773401   238.431673
0.783401   233.921399
0.793401   228.882342
0.803401   222.981835
0.813401   216.538665
0.823401   204.454601
0.833401   201.769804
0.843401   261.511945
0.853401   260.722420
0.863401   262.380212
0.873401   --undefined--
0.883401   --undefined--
0.893401   --undefined--
0.903401   --undefined--
0.913401   --undefined--
0.923401   --undefined--
0.933401   --undefined--
0.943401   --undefined--
0.953401   --undefined--
0.963401   --undefined--
0.973401   --undefined--
0.983401   --undefined--
0.993401   --undefined--
1.003401   --undefined--
1.013401   --undefined--
1.023401   --undefined--
1.033401   --undefined--
1.043401   --undefined--
1.053401   --undefined--
1.063401   --undefined--
1.073401   --undefined--
1.083401   --undefined--
1.093401   --undefined--
1.103401   --undefined--
1.113401   --undefined--
1.123401   --undefined--
1.133401   --undefined--
1.143401   --undefined--
1.153401   --undefined--
1.163401   --undefined--
1.173401   --undefined--
1.183401   --undefined--
1.193401   --undefined--
1.203401   89.823572
1.213401   87.150375
1.223401   --undefined--
1.233401   --undefined--
1.243401   --undefined--
1.253401   --undefined--
1.263401   --undefined--
1.273401   --undefined--
1.283401   --undefined--
1.293401   --undefined--
1.303401   --undefined--
1.313401   --undefined--
1.323401   --undefined--
1.333401   --undefined--
1.343401   --undefined--
1.353401   --undefined--
1.363401   --undefined--
1.373401   --undefined--
1.383401   --undefined--
1.393401   --undefined--
1.403401   --undefined--
1.413401   --undefined--
1.423401   --undefined--
1.433401   --undefined--
1.443401   --undefined--
1.453401   --undefined--
1.463401   --undefined--
1.473401   --undefined--
1.483401   --undefined--
1.493401   --undefined--
1.503401   --undefined--
1.513401   --undefined--
1.523401   90.458756
1.533401   85.855512
1.543401   82.775778
1.553401   --undefined--
1.563401   270.157620
1.573401   273.610522
1.583401   274.847237
1.593401   276.716849
1.603401   276.966461
1.613401   277.485315
1.623401   278.846536
1.633401   279.221939
1.643401   277.463392
1.653401   243.643818
1.663401   225.905522
1.673401   226.638240
1.683401   227.777415
1.693401   241.457662
1.703401   249.177602
1.713401   248.580406
1.723401   248.883220
1.733401   247.069680
1.743401   238.369295
1.753401   235.495719
1.763401   233.125359
1.773401   226.154656
1.783401   --undefined--
1.793401   --undefined--
1.803401   --undefined--
1.813401   --undefined--
1.823401   --undefined--
1.833401   --undefined--
1.843401   --undefined--
1.853401   --undefined--
1.863401   --undefined--
1.873401   83.723930
1.883401   81.503660
1.893401   81.845108
1.903401   79.109018
1.913401   77.427115
1.923401   77.269187
1.933401   76.874127
1.943401   79.596511
1.953401   76.720448
1.963401   78.516339
