Time_s   F0_Hz
0.024365   --undefined--
0.034365   --undefined--
0.044365   --undefined--
0.054365   --undefined--
0.064365   --undefined--
0.074365   --undefined--
0.084365   --undefined--
0.094365   --undefined--
0.104365   --undefined--
0.114365   --undefined--
0.124365   --undefined--
0.134365   --undefined--
0.144365   --undefined--
0.154365   --undefined--
0.164365   --undefined--
0.174365   --undefined--
0.184365   --undefined--
0.194365   --undefined--
0.204365   --undefined--
0.214365   --undefined--
0.224365   --undefined--
0.234365   --undefined--
0.244365   --undefined--
0.254365   --undefined--
0.264365   --undefined--
0.274365   --undefined--
0.284365   --undefined--
0.294365   --undefined--
0.304365   --undefined--
0.314365   --undefined--
0.324365   --undefined--
0.334365   --undefined--
0.344365   --undefined--
0.354365   --undefined--
0.364365   --undefined--
0.374365   --undefined--
0.384365   --undefined--
0.394365   --undefined--
0.404365   --undefined--
0.414365   --undefined--
0.424365   --undefined--
0.434365   --undefined--
0.444365   --undefined--
0.454365   --undefined--
0.464365   --undefined--
0.474365   --undefined--
0.484365   --undefined--
0.494365   --undefined--
0.504365   --undefined--
0.514365   --undefined--
0.524365   --undefined--
0.534365   --undefined--
0.544365   --undefined--
0.554365   --undefined--
0.564365   --undefined--
0.574365   --undefined--
0.584365   --undefined--
0.594365   --undefined--
0.604365   --undefined--
0.614365   --undefined--
0.624365   --undefined--
0.634365   --undefined--
0.644365   --undefined--
0.654365   --undefined--
0.664365   --undefined--
0.674365   --undefined--
0.684365   --undefined--
0.694365   --undefined--
0.704365   --undefined--
0.714365   --undefined--
0.724365   --undefined--
0.734365   --undefined--
0.744365   --undefined--
0.754365   --undefined--
0.764365   --undefined--
0.774365   --undefined--
0.784365   --undefined--
0.794365   --undefined--
0.804365   --undefined--
0.814365   --undefined--
0.824365   --undefined--
0.834365   --undefined--
0.844365   --undefined--
0.854365   --undefined--
0.864365   --undefined--
0.874365   --undefined--
0.884365   --undefined--
0.894365   --undefined--
0.904365   --undefined--
0.914365   --undefined--
0.924365   --undefined--
0.934365   --undefined--
0.944365   --undefined--
0.954365   --undefined--
0.964365   --undefined--
0.974365   --undefined--
0.984365   --undefined--
0.994365   --undefined--
1.004365   --undefined--
1.014365   --undefined--
1.024365   --undefined--
1.034365   --undefined--
1.044365   --undefined--
1.054365   --undefined--
1.064365   --undefined--
1.074365   --undefined--
1.084365   --undefined--
1.094365   --undefined--
1.104365   --undefined--
1.114365   --undefined--
1.124365   --undefined--
1.134365   --undefined--
1.144365   --undefined--
1.154365   --undefined--
1.164365   --undefined--
1.174365   --undefined--
1.184365   --undefined--
1.194365   --undefined--
1.204365   --undefined--
1.214365   --undefined--
1.224365   --undefined--
1.234365   --undefined--
1.244365   --undefined--
1.254365   --undefined--
1.264365   --undefined--
1.274365   --undefined--
1.284365   --undefined--
1.294365   --undefined--
1.304365   --undefined--
1.314365   --undefined--
1.324365   --undefined--
1.334365   --undefined--
1.344365   --undefined--
1.354365   --undefined--
1.364365   --undefined--
1.374365   --undefined--
1.384365   --undefined--
1.394365   --undefined--
1.404365   --undefined--
1.414365   --undefined--
