Time_s   F0_Hz
0.021383   --undefined--
0.031383   --undefined--
0.041383   --undefined--
0.051383   --undefined--
0.061383   --undefined--
0.071383   --undefined--
0.081383   --undefined--
0.091383   --undefined--
0.101383   --undefined--
0.111383   --undefined--
0.121383   --undefined--
0.131383   --undefined--
0.141383   --undefined--
0.151383   --undefined--
0.161383   --undefined--
0.171383   --undefined--
0.181383   --undefined--
0.191383   --undefined--
0.201383   --undefined--
0.211383   --undefined--
0.221383   --undefined--
0.231383   --undefined--
0.241383   --undefined--
0.251383   --undefined--
0.261383   --undefined--
0.271383   --undefined--
0.281383   --undefined--
0.291383   --undefined--
0.301383   --undefined--
0.311383   --undefined--
0.321383   --undefined--
0.331383   76.715497
0.341383   --undefined--
0.351383   --undefined--
0.361383   --undefined--
0.371383   --undefined--
0.381383   --undefined--
0.391383   78.064252
0.401383   80.839577
0.411383   82.822998
0.421383   85.630311
0.431383   86.860230
0.441383   89.602382
0.451383   90.466368
0.461383   92.775264
0.471383   94.386878
0.481383   95.161805
0.491383   96.251587
0.501383   98.602649
0.511383   99.305394
0.521383   99.335795
0.531383   --undefined--
0.541383   --undefined--
0.551383   205.329526
0.561383   203.076273
0.571383   206.276419
0.581383   156.596996
0.591383   158.567313
0.601383   159.254615
0.611383   159.436825
0.621383   161.214870
0.631383   160.074234
0.641383   160.859978
0.651383   160.179399
0.661383   160.803040
0.671383   160.730385
0.681383   160.935312
0.691383   161.491814
0.701383   162.585117
0.711383   --undefined--
0.721383   --undefined--
0.731383   --undefined--
0.741383   --undefined--
0.751383   97.099466
0.761383   97.351272
0.771383   97.884457
0.781383   98.468476
0.791383   99.085410
0.801383   98.515822
0.811383   98.711431
0.821383   --undefined--
0.831383   --undefined--
0.841383   --undefined--
0.851383   --undefined--
0.861383   --undefined--
0.871383   --undefined--
0.881383   --undefined--
0.891383   --undefined--
0.901383   --undefined--
0.911383   --undefined--
0.921383   94.348026
0.931383   97.438976
0.941383   97.736218
0.951383   98.361796
0.961383   99.270926
0.971383   --undefined--
0.981383   --undefined--
0.991383   --undefined--
1.001383   --undefined--
1.011383   --undefined--
1.021383   --undefined--
1.031383   --undefined--
1.041383   --undefined--
1.051383   --undefined--
1.061383   --undefined--
1.071383   --undefined--
1.081383   --undefined--
1.091383   --undefined--
1.101383   --undefined--
1.111383   --undefined--
1.121383   --undefined--
1.131383   --undefined--
1.141383   --undefined--
1.151383   --undefined--
1.161383   --undefined--
1.171383   --undefined--
1.181383   --undefined--
1.191383   --undefined--
1.201383   --undefined--
1.211383   --undefined--
1.221383   --undefined--
1.231383   --undefined--
1.241383   --undefined--
1.251383   --undefined--
1.261383   --undefined--
1.271383   --undefined--
1.281383   --undefined--
1.291383   299.564849
1.301383   296.127564
1.311383   303.096491
1.321383   321.878395
1.331383   328.879274
1.341383   338.572193
1.351383   351.701179
1.361383   356.508446
1.371383   359.242026
1.381383   356.203700
1.391383   353.895535
1.401383   349.991826
1.411383   338.098186
1.421383   331.520342
1.431383   320.476350
1.441383   --undefined--
1.451383   196.717726
1.461383   196.055639
1.471383   196.422291
1.481383   --undefined--
1.491383   --undefined--
1.501383   --undefined--
1.511383   329.595302
1.521383   342.226668
1.531383   355.214242
1.541383   360.054669
1.551383   356.157992
1.561383   349.901717
1.571383   346.270199
1.581383   343.063109
1.591383   339.503955
1.601383   338.117459
1.611383   336.589627
1.621383   332.853031
1.631383   327.322820
1.641383   323.148457
1.651383   323.159483
1.661383   --undefined--
1.671383   --undefined--
1.681383   --undefined--
1.691383   --undefined--
1.701383   --undefined--
1.711383   --undefined--
1.721383   --undefined--
1.731383   --undefined--
1.741383   --undefined--
1.751383   --undefined--
1.761383   --undefined--
1.771383   --undefined--
1.781383   --undefined--
1.791383   --undefined--
1.801383   --undefined--
1.811383   --undefined--
1.821383   --undefined--
1.831383   --undefined--
1.841383   --undefined--
1.851383   --undefined--
1.861383   --undefined--
1.871383   --undefined--
1.881383   --undefined--
1.891383   --undefined--
1.901383   --undefined--
1.911383   --undefined--
1.921383   --undefined--
1.931383   --undefined--
1.941383   --undefined--
1.951383   --undefined--
1.961383   --undefined--
1.971383   --undefined--
1.981383   --undefined--
1.991383   --undefined--
2.001383   --undefined--
2.011383   --undefined--
2.021383   --undefined--
2.031383   --undefined--
2.041383   --undefined--
2.051383   --undefined--
2.061383   --undefined--
2.071383   --undefined--
2.081383   --undefined--
2.091383   --undefined--
2.101383   --undefined--
2.111383   --undefined--
2.121383   --undefined--
2.131383   --undefined--
2.141383   146.592310
2.151383   145.683415
2.161383   145.382367
2.171383   145.574496
2.181383   145.501957
2.191383   145.087449
2.201383   145.211237
2.211383   293.428116
2.221383   298.522879
2.231383   304.825646
2.241383   311.686323
2.251383   318.529058
2.261383   327.144465
2.271383   332.118509
2.281383   333.783939
2.291383   335.423133
2.301383   333.224951
2.311383   331.333104
2.321383   332.986143
2.331383   343.616803
2.341383   352.128089
2.351383   --undefined--
2.361383   --undefined--
2.371383   --undefined--
2.381383   --undefined--
2.391383   --undefined--
2.401383   --undefined--
2.411383   --undefined--
2.421383   --undefined--
2.431383   --undefined--
2.441383   --undefined--
2.451383   --undefined--
2.461383   --undefined--
2.471383   --undefined--
2.481383   --undefined--
2.491383   --undefined--
2.501383   --undefined--
2.511383   --undefined--
2.521383   --undefined--
2.531383   --undefined--
2.541383   --undefined--
2.551383   --undefined--
2.561383   --undefined--
2.571383   --undefined--
2.581383   --undefined--
2.591383   --undefined--
2.601383   --undefined--
2.611383   --undefined--
2.621383   --undefined--
2.631383   --undefined--
2.641383   --undefined--
2.651383   --undefined--
2.661383   --undefined--
2.671383   --undefined--
2.681383   151.906467
2.691383   152.481977
2.701383   153.216901
2.711383   152.718617
2.721383   152.641226
2.731383   152.349747
2.741383   152.713333
2.751383   153.248722
2.761383   158.464105
2.771383   158.572980
2.781383   158.841193
2.791383   159.099810
2.801383   106.658399
2.811383   107.557886
2.821383   --undefined--
2.831383   --undefined--
2.841383   --undefined--
2.851383   --undefined--
2.861383   --undefined--
2.871383   --undefined--
2.881383   --undefined--
2.891383   --undefined--
2.901383   --undefined--
2.911383   --undefined--
2.921383   --undefined--
2.931383   --undefined--
2.941383   --undefined--
2.951383   --undefined--
2.961383   --undefined--
2.971383   --undefined--
2.981383   --undefined--
2.991383   --undefined--
3.001383   --undefined--
3.011383   --undefined--
3.021383   --undefined--
3.031383   --undefined--
3.041383   --undefined--
3.051383   --undefined--
3.061383   --undefined--
3.071383   --undefined--
3.081383   --undefined--
3.091383   --undefined--
3.101383   --undefined--
3.111383   --undefined--
3.121383   --undefined--
