Time_s   F0_Hz
0.024365   171.590797
0.034365   170.952416
0.044365   170.174677
0.054365   168.273994
0.064365   167.230565
0.074365   165.885069
0.084365   166.248332
0.094365   --undefined--
0.104365   --undefined--
0.114365   --undefined--
0.124365   --undefined--
0.134365   --undefined--
0.144365   --undefined--
0.154365   167.563928
0.164365   167.019693
0.174365   166.309337
0.184365   166.167096
0.194365   166.074409
0.204365   164.319117
0.214365   161.613933
0.224365   159.462485
0.234365   159.763887
0.244365   160.524531
0.254365   164.811372
0.264365   168.147003
0.274365   168.678058
0.284365   169.501878
0.294365   170.569235
0.304365   172.440107
0.314365   174.334952
0.324365   --undefined--
0.334365   --undefined--
0.344365   --undefined--
0.354365   170.010002
0.364365   167.839039
0.374365   167.199135
0.384365   166.558913
0.394365   166.584506
0.404365   166.704938
0.414365   167.414078
0.424365   167.721753
0.434365   167.917479
0.444365   167.735720
0.454365   167.783954
0.464365   167.976168
0.474365   168.051974
0.484365   168.004598
0.494365   167.953242
0.504365   167.987771
0.514365   168.152073
0.524365   168.358410
0.534365   168.708655
0.544365   168.355965
0.554365   167.833319
0.564365   168.149493
0.574365   --undefined--
0.584365   --undefined--
0.594365   --undefined--
0.604365   210.272509
0.614365   209.413422
0.624365   209.030396
0.634365   208.512858
0.644365   --undefined--
0.654365   --undefined--
0.664365   --undefined--
0.674365   --undefined--
0.684365   --undefined--
0.694365   --undefined--
0.704365   --undefined--
0.714365   --undefined--
0.724365   --undefined--
0.734365   --undefined--
0.744365   --undefined--
0.754365   --undefined--
0.764365   --undefined--
0.774365   --undefined--
0.784365   --undefined--
0.794365   --undefined--
0.804365   --undefined--
0.814365   --undefined--
0.824365   --undefined--
0.834365   --undefined--
0.844365   --undefined--
0.854365   --undefined--
0.864365   --undefined--
0.874365   --undefined--
0.884365   --undefined--
0.894365   --undefined--
0.904365   --undefined--
0.914365   --undefined--
0.924365   --undefined--
0.934365   --undefined--
0.944365   --undefined--
0.954365   --undefined--
0.964365   --undefined--
0.974365   --undefined--
0.984365   --undefined--
0.994365   --undefined--
1.004365   --undefined--
1.014365   --undefined--
1.024365   --undefined--
1.034365   --undefined--
1.044365   --undefined--
1.054365   --undefined--
1.064365   --undefined--
1.074365   --undefined--
1.084365   --undefined--
1.094365   --undefined--
1.104365   --undefined--
1.114365   --undefined--
1.124365   --undefined--
1.134365   --undefined--
1.144365   --undefined--
1.154365   --undefined--
1.164365   --undefined--
1.174365   486.409517
1.184365   480.814573
1.194365   486.004105
1.204365   --undefined--
1.214365   --undefined--
1.224365   494.754814
1.234365   480.613017
1.244365   478.583952
1.254365   489.566323
1.264365   475.975167
1.274365   477.706968
1.284365   477.828303
1.294365   483.756912
1.304365   --undefined--
1.314365   --undefined--
1.324365   --undefined--
1.334365   --undefined--
1.344365   --undefined--
1.354365   --undefined--
1.364365   --undefined--
1.374365   --undefined--
1.384365   --undefined--
1.394365   --undefined--
1.404365   320.774048
1.414365   317.735766
1.424365   332.762861
1.434365   321.949675
1.444365   318.156511
1.454365   318.564864
1.464365   316.958383
1.474365   317.291661
1.484365   319.069223
1.494365   320.832467
1.504365   486.822282
1.514365   476.155564
1.524365   472.465200
1.534365   --undefined--
1.544365   --undefined--
1.554365   498.561428
1.564365   476.146269
1.574365   475.175113
1.584365   --undefined--
1.594365   --undefined--
1.604365   481.923901
1.614365   478.963737
1.624365   317.139904
1.634365   312.131365
1.644365   269.108672
1.654365   267.984789
1.664365   269.762197
1.674365   271.339315
1.684365   272.109165
1.694365   272.179282
1.704365   271.709902
1.714365   267.980232
1.724365   260.681065
1.734365   261.167895
1.744365   260.695424
1.754365   260.455256
1.764365   260.870439
1.774365   261.837964
1.784365   263.763945
1.794365   267.549098
1.804365   272.581427
1.814365   275.395190
1.824365   273.993392
1.834365   263.157425
1.844365   238.275283
1.854365   235.073626
1.864365   --undefined--
1.874365   --undefined--
1.884365   --undefined--
1.894365   --undefined--
1.904365   --undefined--
1.914365   --undefined--
1.924365   --undefined--
1.934365   --undefined--
1.944365   --undefined--
1.954365   --undefined--
1.964365   --undefined--
1.974365   --undefined--
1.984365   131.862720
1.994365   133.356419
2.004365   134.503571
2.014365   134.321460
2.024365   133.815211
2.034365   103.071136
2.044365   103.079033
2.054365   103.491404
2.064365   103.724645
2.074365   103.827457
2.084365   103.751354
2.094365   103.576869
2.104365   103.702610
2.114365   104.258953
2.124365   105.231729
2.134365   106.497487
2.144365   108.161574
2.154365   109.998388
2.164365   334.963219
2.174365   340.321287
2.184365   343.886719
2.194365   346.533142
2.204365   348.113884
