Time_s   F0_Hz
0.022381   --undefined--
0.032381   --undefined--
0.042381   --undefined--
0.052381   --undefined--
0.062381   --undefined--
0.072381   --undefined--
0.082381   --undefined--
0.092381   --undefined--
0.102381   --undefined--
0.112381   --undefined--
0.122381   --undefined--
0.132381   --undefined--
0.142381   --undefined--
0.152381   --undefined--
0.162381   --undefined--
0.172381   --undefined--
0.182381   --undefined--
0.192381   --undefined--
0.202381   --undefined--
0.212381   --undefined--
0.222381   161.973567
0.232381   162.770947
0.242381   163.607316
0.252381   165.950038
0.262381   168.255534
0.272381   169.325359
0.282381   170.296577
0.292381   170.344825
0.302381   168.862718
0.312381   167.104825
0.322381   164.504537
0.332381   161.256099
0.342381   157.015438
0.352381   155.228675
0.362381   152.427105
0.372381   147.828002
0.382381   144.201416
0.392381   141.777723
0.402381   139.661067
0.412381   138.081663
0.422381   135.451542
0.432381   133.880935
0.442381   132.577014
0.452381   130.675840
0.462381   129.611789
0.472381   128.134826
0.482381   125.711411
0.492381   122.194125
0.502381   122.644950
0.512381   120.753203
0.522381   117.083282
0.532381   118.386863
0.542381   124.255673
0.552381   125.752708
0.562381   113.627895
0.572381   113.764467
0.582381   112.251037
0.592381   111.167600
0.602381   110.332966
0.612381   109.616828
0.622381   108.560535
0.632381   107.570350
0.642381   107.919610
0.652381   107.004845
0.662381   --undefined--
0.672381   --undefined--
0.682381   --undefined--
0.692381   78.203006
0.702381   82.379478
0.712381   83.475963
0.722381   83.922182
0.732381   83.991847
0.742381   82.520623
0.752381   83.749752
0.762381   83.464255
0.772381   81.107463
0.782381   82.061726
0.792381   83.525129
0.802381   85.479227
0.812381   83.462745
0.822381   83.708563
0.832381   81.621403
0.842381   77.373509
0.852381   76.332638
0.862381   --undefined--
0.872381   --undefined--
0.882381   --undefined--
0.892381   123.165114
0.902381   125.253097
0.912381   126.097872
0.922381   126.771764
0.932381   127.602408
0.942381   127.767973
0.952381   127.542780
0.962381   127.800596
0.972381   129.403710
0.982381   138.011933
0.992381   137.667535
1.002381   143.790122
1.012381   145.491338
1.022381   146.696104
1.032381   146.844775
1.042381   146.454484
1.052381   145.065207
1.062381   143.296959
1.072381   141.454114
1.082381   139.973035
1.092381   --undefined--
1.102381   --undefined--
1.112381   --undefined--
1.122381   --undefined--
1.132381   --undefined--
1.142381   --undefined--
1.152381   --undefined--
1.162381   --undefined--
1.172381   --undefined--
1.182381   --undefined--
1.192381   --undefined--
1.202381   --undefined--
1.212381   --undefined--
1.222381   --undefined--
1.232381   147.434919
1.242381   149.027849
1.252381   150.376808
1.262381   150.805081
1.272381   150.115348
1.282381   148.509707
1.292381   147.240145
1.302381   146.515295
1.312381   145.794461
1.322381   145.063771
1.332381   144.613182
1.342381   144.660313
1.352381   144.415913
1.362381   143.752588
1.372381   142.701041
1.382381   142.073374
1.392381   --undefined--
1.402381   --undefined--
1.412381   --undefined--
1.422381   --undefined--
1.432381   146.287766
1.442381   147.392629
1.452381   147.183044
1.462381   147.010707
1.472381   146.973749
1.482381   --undefined--
1.492381   80.747381
1.502381   80.070937
1.512381   79.302422
1.522381   78.742155
1.532381   78.509240
1.542381   77.997129
1.552381   77.661689
1.562381   --undefined--
1.572381   143.586574
1.582381   145.010565
1.592381   146.902344
1.602381   147.549022
1.612381   147.435817
