Time_s   F0_Hz
0.021687   --undefined--
0.031687   --undefined--
0.041687   --undefined--
0.051687   --undefined--
0.061687   --undefined--
0.071687   --undefined--
0.081687   --undefined--
0.091687   --undefined--
0.101687   --undefined--
0.111687   --undefined--
0.121687   --undefined--
0.131687   --undefined--
0.141687   --undefined--
0.151687   --undefined--
0.161687   --undefined--
0.171687   --undefined--
0.181687   --undefined--
0.191687   --undefined--
0.201687   --undefined--
0.211687   --undefined--
0.221687   --undefined--
0.231687   --undefined--
0.241687   --undefined--
0.251687   --undefined--
0.261687   --undefined--
0.271687   --undefined--
0.281687   --undefined--
0.291687   --undefined--
0.301687   --undefined--
0.311687   --undefined--
0.321687   --undefined--
0.331687   --undefined--
0.341687   --undefined--
0.351687   --undefined--
0.361687   --undefined--
0.371688   --undefined--
0.381687   --undefined--
0.391687   --undefined--
0.401687   --undefined--
0.411687   --undefined--
0.421687   --undefined--
0.431688   --undefined--
0.441687   --undefined--
0.451687   --undefined--
0.461687   --undefined--
0.471687   --undefined--
0.481687   --undefined--
0.491687   --undefined--
0.501687   --undefined--
0.511687   --undefined--
0.521687   --undefined--
0.531687   --undefined--
0.541687   --undefined--
0.551687   --undefined--
0.561688   --undefined--
0.571688   --undefined--
0.581688   --undefined--
0.591688   --undefined--
0.601687   --undefined--
0.611687   --undefined--
0.621687   --undefined--
0.631687   --undefined--
0.641687   --undefined--
0.651687   --undefined--
0.661687   --undefined--
0.671687   --undefined--
0.681688   --undefined--
0.691688   --undefined--
0.701688   --undefined--
0.711688   --undefined--
0.721688   --undefined--
0.731687   --undefined--
0.741687   --undefined--
0.751687   --undefined--
0.761687   --undefined--
0.771687   --undefined--
0.781687   --undefined--
0.791687   --undefined--
0.801687   --undefined--
0.811688   --undefined--
0.821688   --undefined--
0.831688   --undefined--
0.841688   --undefined--
0.851688   --undefined--
0.861687   --undefined--
0.871687   --undefined--
0.881687   --undefined--
0.891687   --undefined--
0.901687   --undefined--
0.911687   --undefined--
0.921687   --undefined--
0.931688   --undefined--
0.941688   --undefined--
0.951688   --undefined--
0.961688   --undefined--
0.971688   --undefined--
0.981687   --undefined--
0.991687   --undefined--
1.001687   --undefined--
1.011687   --undefined--
1.021687   --undefined--
1.031687   --undefined--
1.041687   --undefined--
1.051687   --undefined--
1.061687   --undefined--
1.071687   170.266240
1.081687   168.543506
1.091687   168.530677
1.101687   174.615978
1.111687   184.250818
1.121687   191.052677
1.131687   202.158487
1.141687   207.759012
1.151687   219.731300
1.161687   219.232470
1.171687   203.641249
1.181687   196.352762
1.191687   187.101425
1.201687   190.916833
1.211687   151.284654
1.221687   150.142305
1.231687   137.023713
1.241687   127.163480
1.251687   --undefined--
1.261687   --undefined--
1.271687   --undefined--
1.281687   --undefined--
1.291687   --undefined--
1.301687   137.480775
1.311687   138.931108
1.321687   139.238234
1.331687   137.850788
1.341687   135.434988
1.351687   132.880570
1.361687   129.770082
1.371687   125.142663
1.381687   --undefined--
1.391687   --undefined--
1.401687   128.674336
1.411687   134.907255
1.421687   127.146487
1.431687   124.166856
1.441687   --undefined--
1.451687   --undefined--
1.461687   --undefined--
1.471687   --undefined--
1.481687   138.862153
1.491687   147.546250
1.501687   148.398800
1.511687   152.776240
1.521687   162.402102
1.531687   171.197013
1.541687   179.791333
1.551687   187.541890
1.561687   192.266717
1.571687   194.926078
1.581687   194.433279
1.591687   191.721523
1.601687   188.702109
1.611687   188.607111
1.621687   191.796235
1.631687   192.804780
1.641687   192.542104
1.651687   192.259240
1.661687   190.991306
1.671687   190.999667
1.681688   190.980851
1.691687   189.297396
1.701687   --undefined--
1.711687   165.217456
1.721687   147.101854
1.731687   136.995929
1.741687   130.663191
1.751687   125.942400
1.761687   115.843773
1.771687   114.286675
1.781687   112.734328
1.791687   112.209199
1.801687   110.164573
1.811687   107.952581
1.821687   104.475663
1.831687   105.376307
1.841687   105.407931
1.851687   107.666090
1.861687   106.428439
1.871687   105.272131
1.881687   103.920332
1.891687   104.041493
1.901687   105.408417
1.911687   107.510311
1.921687   109.632580
1.931688   111.610163
1.941687   112.829113
1.951687   113.953107
1.961687   115.092008
1.971687   115.717039
1.981687   104.394207
1.991687   114.543452
2.001688   114.283030
2.011687   114.886157
2.021688   121.785131
2.031688   126.365806
2.041688   125.967392
2.051688   123.200800
2.061688   121.679824
2.071687   106.105288
2.081688   110.015946
2.091687   108.119372
2.101688   107.732395
2.111687   107.626782
2.121688   --undefined--
2.131687   --undefined--
2.141688   --undefined--
2.151687   133.448054
2.161688   128.784936
2.171687   130.127518
2.181688   134.100448
2.191688   139.722770
2.201688   149.009713
2.211688   158.029158
2.221688   166.784578
2.231688   179.006042
2.241688   188.498708
2.251688   197.094019
2.261688   207.512658
2.271688   210.423503
2.281688   211.834515
2.291688   206.490612
2.301688   196.306025
2.311688   180.544158
2.321688   166.999284
2.331688   --undefined--
2.341687   --undefined--
2.351688   --undefined--
2.361687   --undefined--
2.371688   --undefined--
2.381687   --undefined--
2.391688   --undefined--
2.401687   --undefined--
2.411688   --undefined--
2.421687   --undefined--
2.431688   --undefined--
2.441688   --undefined--
2.451688   --undefined--
2.461688   --undefined--
2.471688   --undefined--
2.481688   --undefined--
2.491688   --undefined--
2.501688   --undefined--
2.511688   --undefined--
2.521688   --undefined--
2.531688   --undefined--
2.541688   --undefined--
2.551688   --undefined--
2.561688   --undefined--
2.571688   --undefined--
2.581688   --undefined--
2.591687   --undefined--
2.601688   --undefined--
2.611687   --undefined--
2.621688   --undefined--
2.631687   --undefined--
2.641688   --undefined--
2.651687   --undefined--
2.661688   --undefined--
2.671687   --undefined--
2.681688   --undefined--
2.691688   --undefined--
2.701688   --undefined--
2.711688   --undefined--
2.721688   --undefined--
2.731688   --undefined--
2.741688   --undefined--
2.751688   --undefined--
2.761688   --undefined--
2.771688   --undefined--
2.781688   --undefined--
2.791688   --undefined--
2.801688   --undefined--
2.811688   --undefined--
2.821688   --undefined--
2.831688   --undefined--
2.841687   --undefined--
2.851688   --undefined--
2.861687   --undefined--
2.871688   --undefined--
2.881687   --undefined--
2.891688   --undefined--
2.901687   --undefined--
2.911688   --undefined--
2.921687   --undefined--
2.931688   --undefined--
2.941688   --undefined--
2.951688   --undefined--
